KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
0,0,-1,0,1,-1,-1,5:57:44,1
0,0,71,0,1,-1,-1,1:05:47,6
0,0,153,0,-1,-1,-1,5:57:44,2
0,0,153,0,1,-1,-1,5:57:44,3
0,1,-1,0,-1,-1,-1,13:31:11,3
0,1,-1,0,-1,-1,-1,1:16:59,1
0,1,-1,0,-1,-1,1,4:06:14,1
0,1,-1,0,-1,1,1,2:19:08,1
0,1,-1,0,-1,1,1,4:20:48,1
0,1,-1,0,1,-1,1,3:22:05,3
0,1,-1,0,1,-1,1,11:51:00,3
0,1,-1,0,1,-1,1,12:42:17,3
0,1,-1,0,1,-1,1,4:06:14,2
0,1,-1,0,1,-1,1,7:44:38,1
0,1,-1,0,1,-1,1,3:01:29,1
0,1,-1,0,1,1,1,14:12:29,3
0,1,-1,0,1,1,1,0:26:00,1
0,1,-1,0,1,1,1,23:34:47,1
0,1,-1,0,1,1,1,3:40:38,1
0,1,-1,0,1,1,1,20:35:35,1
0,1,-1,0,1,1,1,21:18:38,1
0,1,0,0,-1,1,-1,3:00:14,2
0,1,0,0,-1,1,1,2:20:43,8
0,1,0,0,-1,1,1,22:31:26,6
0,1,0,0,-1,1,1,15:43:43,4
0,1,0,0,-1,1,1,4:35:49,3
0,1,0,0,-1,1,1,4:02:24,3
0,1,0,0,-1,1,1,22:47:11,2
0,1,0,0,-1,1,1,8:09:44,2
0,1,0,0,-1,1,1,4:16:46,2
0,1,0,0,-1,1,1,6:35:22,1
0,1,0,0,-1,1,1,1:20:27,1
0,1,0,0,-1,1,1,8:39:05,1
0,1,0,0,-1,1,1,5:54:28,1
0,1,0,0,-1,1,1,18:21:26,1
0,1,0,0,-1,1,1,0:01:08,1
0,1,0,0,-1,1,1,23:17:14,1
0,1,0,0,-1,1,1,5:11:01,1
0,1,0,0,-1,1,1,0:50:46,1
0,1,0,0,-1,1,1,7:31:17,1
0,1,0,0,-1,1,1,6:38:19,1
0,1,0,0,-1,1,1,1:36:05,1
0,1,0,0,-1,1,1,5:17:28,1
0,1,0,0,-1,1,1,18:35:03,1
0,1,0,0,1,-1,1,5:21:47,4
