IsolationForest,LOF,OneClassSVM,sleeve,count
-1,-1,-1,30014144,7
-1,-1,-1,30014136,7
-1,-1,-1,30012261,4
-1,-1,-1,30013350,4
-1,-1,-1,30014138,4
-1,-1,-1,30014142,4
-1,-1,-1,30013359,4
-1,-1,-1,30013875,4
-1,-1,-1,30014141,3
-1,-1,-1,30013873,3
-1,-1,-1,30013871,3
-1,-1,-1,30014143,3
-1,-1,-1,30013876,3
-1,-1,-1,30014815,3
-1,-1,-1,30014821,3
-1,-1,-1,30014820,3
-1,-1,-1,30013346,2
-1,-1,-1,30012909,2
-1,-1,-1,30014189,2
-1,-1,-1,30014184,2
-1,-1,-1,30014817,2
-1,-1,-1,30014808,2
-1,-1,-1,30014809,2
-1,-1,-1,30014804,2
-1,-1,-1,30014807,2
-1,-1,-1,30014810,2
-1,-1,-1,30014811,2
-1,-1,-1,30014803,2
-1,-1,-1,30014812,2
-1,-1,-1,30013864,1
-1,-1,-1,30013870,1
-1,-1,-1,30013866,1
-1,-1,-1,30013865,1
-1,-1,-1,30013868,1
-1,-1,-1,30013863,1
-1,-1,-1,30013352,1
-1,-1,-1,30013349,1
-1,-1,-1,30013351,1
-1,-1,-1,30013353,1
-1,-1,-1,30013347,1
-1,-1,-1,30012913,1
-1,-1,-1,30012904,1
-1,-1,-1,30012903,1
-1,-1,-1,30012912,1
-1,-1,-1,30012907,1
-1,-1,-1,30011717,1
-1,-1,-1,30012905,1
-1,-1,-1,30012264,1
-1,-1,-1,30014186,1
-1,-1,-1,30014192,1
-1,-1,-1,30014193,1
-1,-1,-1,30014814,1
-1,-1,-1,30014825,1
-1,-1,-1,30014806,1
-1,-1,-1,30014816,1
-1,-1,-1,30014824,1
-1,-1,-1,30014818,1
-1,-1,-1,530314 К,1
-1,-1,-1,30014135,1
-1,-1,1,30014191,3
-1,-1,1,30014189,2
-1,-1,1,30014187,2
-1,-1,1,30014188,2
-1,-1,1,30014142,2
-1,-1,1,30014078,2
-1,-1,1,30014190,2
-1,-1,1,30013346,1
-1,-1,1,30014183,1
-1,-1,1,30014185,1
-1,-1,1,30014141,1
-1,-1,1,30014192,1
-1,-1,1,30014193,1
-1,-1,1,30014144,1
-1,-1,1,30013873,1
-1,-1,1,30013876,1
-1,-1,1,30014138,1
-1,-1,1,30014143,1
-1,-1,1,30014140,1
-1,-1,1,30013874,1
-1,-1,1,30014815,1
-1,-1,1,30014820,1
-1,-1,1,30014811,1
-1,-1,1,30014803,1
-1,1,-1,30012909,11
-1,1,-1,30014817,11
-1,1,-1,30014809,10
-1,1,-1,30013353,9
-1,1,-1,30014193,9
-1,1,-1,30014821,9
-1,1,-1,30012903,8
-1,1,-1,30014811,8
-1,1,-1,30013351,7
-1,1,-1,30012904,7
-1,1,-1,30014142,7
-1,1,-1,30014138,7
-1,1,-1,30014191,7
-1,1,-1,30014188,7
-1,1,-1,30013349,6
-1,1,-1,30014190,6
-1,1,-1,30014192,6
-1,1,-1,30014807,6
-1,1,-1,30014825,6
-1,1,-1,30014812,6
-1,1,-1,30012912,5
-1,1,-1,30012913,5
-1,1,-1,30014144,5
-1,1,-1,30014187,5
-1,1,-1,30014824,5
-1,1,-1,30014816,5
-1,1,-1,30014820,5
-1,1,-1,30013352,4
-1,1,-1,30013347,4
-1,1,-1,30014815,4
-1,1,-1,30014804,4
-1,1,-1,30014810,4
-1,1,-1,30014814,4
-1,1,-1,30012905,3
-1,1,-1,30014136,3
-1,1,-1,30014078,3
-1,1,-1,30014806,3
-1,1,-1,30013864,2
-1,1,-1,30013870,2
-1,1,-1,30013866,2
-1,1,-1,30013868,2
-1,1,-1,30013865,2
-1,1,-1,30013867,2
-1,1,-1,30013359,2
-1,1,-1,30013876,2
-1,1,-1,30013873,2
-1,1,-1,30014808,2
-1,1,-1,30014819,2
-1,1,-1,30013863,1
-1,1,-1,30012910,1
-1,1,-1,30014141,1
-1,1,-1,30014189,1
-1,1,-1,30014143,1
-1,1,-1,30013874,1
-1,1,1,30014144,23
-1,1,1,30014136,22
-1,1,1,30014824,21
-1,1,1,30014825,21
-1,1,1,30014820,20
-1,1,1,30014188,19
-1,1,1,30014814,19
-1,1,1,30014812,19
-1,1,1,30014141,18
-1,1,1,30014806,18
-1,1,1,30014138,16
-1,1,1,30014816,16
-1,1,1,30014142,15
-1,1,1,30012909,13
-1,1,1,30012904,13
-1,1,1,30012903,12
-1,1,1,30014811,12
-1,1,1,30014815,11
-1,1,1,30012905,8
-1,1,1,30014193,8
-1,1,1,30014808,8
-1,1,1,30014804,8
-1,1,1,30013349,7
-1,1,1,30014821,7
-1,1,1,30013351,6
-1,1,1,30012910,6
-1,1,1,30012912,6
-1,1,1,30012913,6
-1,1,1,30014810,6
-1,1,1,30013359,5
-1,1,1,30014191,5
-1,1,1,30013353,4
-1,1,1,30014189,4
-1,1,1,30014185,4
-1,1,1,30014187,4
-1,1,1,30014078,4
-1,1,1,30014190,4
-1,1,1,30013875,4
-1,1,1,30013876,4
-1,1,1,30013873,4
-1,1,1,30014807,4
-1,1,1,30014803,4
-1,1,1,30014184,3
-1,1,1,30014186,3
-1,1,1,30014192,3
-1,1,1,30013871,3
-1,1,1,30014809,2
-1,1,1,30014819,2
-1,1,1,30013864,1
-1,1,1,30013870,1
-1,1,1,30013866,1
-1,1,1,30013863,1
-1,1,1,30014183,1
-1,1,1,30013867,1
-1,1,1,30014140,1
-1,1,1,30014817,1
1,-1,-1,30012264,7
1,-1,-1,30014077,7
1,-1,-1,30014085,7
