KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sleeve,count
0,0,-1,0,1,-1,-1,30014186,1
0,0,71,0,1,-1,-1,30013352,1
0,0,71,0,1,-1,-1,30013349,1
0,0,71,0,1,-1,-1,30013351,1
0,0,71,0,1,-1,-1,30013353,1
0,0,71,0,1,-1,-1,30012909,1
0,0,71,0,1,-1,-1,30013347,1
0,0,153,0,-1,-1,-1,30014184,1
0,0,153,0,-1,-1,-1,30014189,1
0,0,153,0,1,-1,-1,30014183,1
0,0,153,0,1,-1,-1,30014185,1
0,0,153,0,1,-1,-1,30014187,1
0,1,-1,0,-1,-1,-1,30012261,1
0,1,-1,0,-1,-1,-1,30013350,1
0,1,-1,0,-1,-1,-1,30013346,1
0,1,-1,0,-1,-1,-1,30014186,1
0,1,-1,0,-1,-1,1,30013346,1
0,1,-1,0,-1,1,1,30014186,2
0,1,-1,0,1,-1,1,30012261,4
0,1,-1,0,1,-1,1,30013350,4
0,1,-1,0,1,-1,1,30013346,3
0,1,-1,0,1,-1,1,30014186,2
0,1,-1,0,1,1,1,30014186,5
0,1,-1,0,1,1,1,30012261,1
0,1,-1,0,1,1,1,30013350,1
0,1,-1,0,1,1,1,30013346,1
0,1,0,0,-1,1,-1,30014188,1
0,1,0,0,-1,1,-1,30014193,1
0,1,0,0,-1,1,1,30014188,17
0,1,0,0,-1,1,1,30014193,4
0,1,0,0,-1,1,1,30014078,3
0,1,0,0,-1,1,1,30014191,3
0,1,0,0,-1,1,1,30013876,3
0,1,0,0,-1,1,1,30014189,2
0,1,0,0,-1,1,1,30014185,2
0,1,0,0,-1,1,1,30014190,2
0,1,0,0,-1,1,1,30014184,1
0,1,0,0,-1,1,1,30014186,1
0,1,0,0,-1,1,1,30014144,1
0,1,0,0,-1,1,1,30014192,1
0,1,0,0,-1,1,1,30013875,1
0,1,0,0,-1,1,1,30013359,1
0,1,0,0,-1,1,1,30013873,1
0,1,0,0,-1,1,1,30014825,1
0,1,0,0,1,-1,1,30014189,1
0,1,0,0,1,-1,1,30014183,1
0,1,0,0,1,-1,1,30014184,1
0,1,0,0,1,-1,1,30014186,1
0,1,0,0,1,1,-1,30014192,1
0,1,0,0,1,1,1,30014144,155
0,1,0,0,1,1,1,30014192,124
0,1,0,0,1,1,1,30014190,124
0,1,0,0,1,1,1,30014191,123
0,1,0,0,1,1,1,30014193,121
0,1,0,0,1,1,1,30014187,108
0,1,0,0,1,1,1,30014078,63
0,1,0,0,1,1,1,30014188,58
0,1,0,0,1,1,1,30014189,39
0,1,0,0,1,1,1,30013871,39
0,1,0,0,1,1,1,30014141,38
0,1,0,0,1,1,1,30013875,38
0,1,0,0,1,1,1,30014138,33
0,1,0,0,1,1,1,30013872,32
0,1,0,0,1,1,1,30014134,32
0,1,0,0,1,1,1,30013873,27
0,1,0,0,1,1,1,30013876,25
0,1,0,0,1,1,1,30014136,21
0,1,0,0,1,1,1,30013874,21
0,1,0,0,1,1,1,30014143,21
0,1,0,0,1,1,1,30014140,21
0,1,0,0,1,1,1,30014183,20
0,1,0,0,1,1,1,30014185,19
0,1,0,0,1,1,1,30014184,19
0,1,0,0,1,1,1,30014186,19
0,1,0,0,1,1,1,30014811,15
0,1,0,0,1,1,1,30014142,14
0,1,0,0,1,1,1,30013359,14
0,1,0,0,1,1,1,30013346,13
0,1,0,0,1,1,1,30013350,13
0,1,0,0,1,1,1,30014814,12
0,1,0,0,1,1,1,30014812,12
0,1,0,0,1,1,1,30014819,12
0,1,0,0,1,1,1,30014824,12
0,1,0,0,1,1,1,30014825,11
0,1,0,0,1,1,1,30013867,8
0,1,0,0,1,1,1,30014809,3
0,1,0,0,1,1,1,30014821,3
0,1,0,0,1,1,1,30014815,3
0,1,0,0,1,1,1,30014817,3
0,1,0,0,1,1,1,30014807,3
0,1,0,0,1,1,1,30014808,3
0,1,0,0,1,1,1,30014804,3
0,1,0,0,1,1,1,30014810,3
0,1,1,0,1,1,1,30012261,13
0,1,151,0,1,-1,1,30014183,1
0,1,151,0,1,-1,1,30014187,1
0,1,151,0,1,-1,1,30014189,1
0,1,151,0,1,-1,1,30014184,1
0,1,151,0,1,1,1,30014185,1
0,1,152,0,1,-1,1,30014183,1
0,1,152,0,1,-1,1,30014185,1
0,1,152,0,1,-1,1,30014184,1
0,1,152,0,1,-1,1,30014189,1
0,1,152,0,1,-1,1,30014187,1
0,1,154,0,-1,1,1,30014183,1
0,1,154,0,-1,1,1,30014185,1
0,1,154,0,-1,1,1,30014184,1
0,1,154,0,-1,1,1,30014189,1
0,1,154,0,-1,1,1,30014187,1
0,1,155,0,-1,-1,-1,30014189,1
0,1,155,0,-1,-1,-1,30014184,1
0,1,155,0,-1,-1,1,30014183,1
0,1,155,0,-1,-1,1,30014185,1
0,1,155,0,-1,-1,1,30014187,1
0,1,156,0,1,1,1,30014183,1
0,1,156,0,1,1,1,30014189,1
0,1,156,0,1,1,1,30014185,1
0,1,156,0,1,1,1,30014184,1
0,1,156,0,1,1,1,30014187,1
0,1,157,0,1,-1,1,30014184,1
0,1,157,0,1,1,1,30014183,1
0,1,157,0,1,1,1,30014189,1
0,1,157,0,1,1,1,30014185,1
0,1,157,0,1,1,1,30014187,1
0,1,158,0,-1,-1,1,30014189,1
0,1,158,0,1,-1,1,30014183,1
0,1,158,0,1,-1,1,30014187,1
0,1,158,0,1,-1,1,30014184,1
0,1,158,0,1,1,1,30014185,1
0,1,159,0,-1,1,1,30014189,1
0,1,159,0,-1,1,1,30014184,1
0,1,159,0,-1,1,1,30014185,1
