RUL_class,sleeve,count
Critical,30014817,292
Critical,30014819,191
Critical,30014144,190
Critical,30014138,178
Critical,30014806,173
Critical,30014821,170
Critical,30014136,167
Critical,30013359,167
Critical,30014811,163
Critical,30014814,160
Critical,30014142,159
Critical,30014809,156
Critical,30014807,149
Critical,30014187,142
Critical,30014193,140
Critical,30014804,135
Critical,30014135,134
Critical,30014141,124
Critical,30014139,114
Critical,30014803,107
Critical,30013871,101
Critical,30014134,99
Critical,30014808,95
Critical,30013868,92
Critical,30014188,91
Critical,30014815,90
Critical,30014812,86
Critical,30014816,85
Critical,30014190,83
Critical,30012904,80
Critical,30014820,77
Critical,30013874,71
Critical,30013867,69
Critical,30012913,67
Critical,30014078,62
Critical,30014192,57
Critical,30014085,53
Critical,30013865,53
Critical,30014082,51
Critical,30013875,41
Critical,30014825,39
Critical,30014140,38
Critical,30013872,38
Critical,30013363,37
Critical,30014183,37
Critical,30014184,37
Critical,30014185,37
Critical,30013864,37
Critical,30014079,34
Critical,30011717,34
Critical,30012903,34
Critical,30012905,33
Critical,30014186,33
Critical,30013349,33
Critical,30013873,32
Critical,30014077,32
Critical,30013356,32
Critical,30013870,32
Critical,30013358,32
Critical,30014084,31
Critical,30012907,31
Critical,530314 К,28
Critical,30014818,28
Critical,30014191,26
Critical,30013350,26
Critical,83898,25
Critical,30012909,25
Critical,30013346,24
Critical,30012261,22
Critical,30013347,17
Critical,30013352,17
Critical,30012910,17
Critical,30013863,12
Critical,30013866,12
Critical,30014083,11
Critical,30014810,11
Critical,30013351,11
Critical,30013353,3
Critical,30012088,3
Critical,30013876,1
Critical,30012264,1
Critical,30014143,1
Critical,30014080,1
Critical,30012912,1
Critical,30014189,1
Critical,30014824,1
Low,30014144,417
Low,30014811,226
Low,30014803,211
Low,30014812,210
Low,30014191,207
Low,30014192,186
Low,30014810,179
Low,30014821,179
Low,30014808,177
Low,30014141,177
Low,30014804,172
Low,30014817,170
Low,30014190,160
Low,30013875,144
Low,30014138,139
Low,30014187,130
Low,30013871,129
Low,30014814,123
Low,30014820,122
Low,30014809,116
Low,30014807,116
Low,30014142,106
Low,30012909,94
Low,30014815,93
Low,30014824,93
Low,530314 К,92
Low,30014193,85
Low,30014136,81
Low,30013359,80
Low,30013872,77
Low,30014806,75
Low,30014078,71
Low,30014188,67
Low,30014825,64
Low,30012913,63
Low,30014816,60
Low,30013874,57
Low,30014186,53
Low,30012903,50
Low,30012910,44
Low,30014140,43
Low,30014184,42
Low,30014135,40
Low,30013865,39
Low,30014183,39
Low,30014134,38
Low,30014082,35
Low,30012905,34
Low,30014085,33
Low,30014079,33
Low,30014083,31
Low,30011717,31
Low,30013864,30
Low,30013351,26
Low,30013868,22
Low,30013349,21
Low,30014819,20
Low,30014080,15
Low,30012912,15
Low,30012088,14
Low,30013873,13
Low,30014084,11
Low,30014077,10
Low,30013867,9
Low,30013870,8
Low,30013352,6
Low,30012261,4
Healthy,30014810,284
Healthy,30014824,272
Healthy,30014825,267
Healthy,30014815,254
Healthy,30014816,236
Healthy,30014820,235
Healthy,30013876,231
Healthy,30013873,220
Healthy,30014808,217
Healthy,30014144,213
Healthy,30014818,204
Healthy,30014812,182
Healthy,30014143,178
Healthy,30014821,175
Healthy,30014189,161
Healthy,30013875,135
Healthy,30014136,120
Healthy,30013863,114
Healthy,30013866,114
Healthy,30014185,97
Healthy,30012909,92
Healthy,30013870,86
Healthy,30014803,86
Healthy,30013353,85
Healthy,30012264,85
Healthy,30014811,84
Healthy,30012903,83
Healthy,30012904,81
Healthy,530314 К,81
Healthy,30012912,81
Healthy,30014140,73
Healthy,30014804,65
Healthy,30012905,63
Healthy,83898,61
Healthy,30014807,58
Healthy,30014183,58
Healthy,30014184,55
Healthy,30014080,51
Healthy,30014186,48
Healthy,30014077,44
Healthy,30014084,44
Healthy,30014083,44
Healthy,30013864,34
Healthy,30013865,34
Healthy,30011717,33
Healthy,30013349,31
Healthy,30014814,29
Healthy,30014809,29
Healthy,30013871,25
Healthy,30013874,24
Healthy,30014193,18
Healthy,30014187,15
Healthy,30014817,14
Healthy,30013868,12
Healthy,30014191,10
Healthy,30012910,8
Healthy,30013352,8
Healthy,30013359,8
Healthy,30014188,8
Healthy,30014078,2
Healthy,30014806,1
