antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.3676138665432027,1.0,0.3676138665432027,1.0,1.0,1.0,0.0,inf,0.0,0.3676138665432027,0.0,0.6838069332716014
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'kind_B 789/BC'}),0.3676138665432027,0.9997106314022802,0.36732449794548294,0.9992128463476071,0.99950207086027,1.0,-0.0001829926886558475,0.3676138665432226,-0.0007871536523930473,0.36732449794548294,-1.7202455919393997,0.6833218336172445
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.3676138665432027,0.9993633890850165,0.367266624225939,0.9990554156171284,0.9996918303479477,1.0,-0.00011321531732305656,0.6739587553291152,-0.0004872251924224649,0.3673729304156535,-0.48377032287631405,0.6832779973614944
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'alloy_type_open'}),0.3676138665432027,0.989698477921176,0.3669772556282192,0.9982682619647355,1.0086589847663099,1.0,0.0031503714476931455,5.948660749517208,0.013575013674424619,0.3705586722767648,0.8318949353295765,0.68453264568911
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'residuals_grab2, tonn_4.0'})",0.3676138665432027,0.9745355634006597,0.3584698188552578,0.9751259445843828,1.0006058077364186,1.0,0.0002170323096827853,1.0237348182215775,0.0009573912576073049,0.36441725010295933,0.023184537439890435,0.6714812572259761
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.3676138665432027,0.7953006539730308,0.29556108571097867,0.8039987405541562,1.0109368532990297,1.0,0.003197537239615078,1.0443777076010508,0.01710747915358137,0.3407619937278976,0.04249200962263646,0.5878165730132155
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'workpiece_slice_geometry_180x180'}),0.3676138665432027,0.8681057931593263,0.30638347126569826,0.8334382871536524,0.9600653442485307,1.0,-0.012744255926155468,0.7918638958903206,-0.061716447174123085,0.32967991032507166,-0.26284328050550226,0.5931858102434929
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.3676138665432027,0.8727935644423868,0.30638347126569826,0.8334382871536524,0.9549088365312618,1.0,-0.01446754565299152,0.763719545049111,-0.06948194914397063,0.32802528037672724,-0.3093811811974708,0.5922380083735903
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'steel_type_Arm500'}),0.3676138665432027,0.7896869031772672,0.29260952601423695,0.7959697732997482,1.0079561533782593,1.0,0.0023096701787140295,1.0307938202299376,0.012481855999481328,0.3383976976106018,0.02987388906063528,0.5832542160745717
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'Nb, %_Low'})",0.3676138665432027,0.5151339776607442,0.20932924359048555,0.5694269521410579,1.105395832608172,1.0,0.019958850274839568,1.1260946888113172,0.1507728963309657,0.3108456514266071,0.1119752096019742,0.4878928941134455
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'crystallizer_movement, mm_Low'})",0.3676138665432027,0.6223161062561491,0.2128595404826668,0.5790302267002518,0.9304439028321074,1.0,-0.01591248955026675,0.8971758014438821,-0.10571543644471354,0.27392567215312424,-0.1146087515854043,0.46053715371095544
"frozenset({'kind_B 789/BC', 'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.36732449794548294,1.0,0.36732449794548294,1.0,1.0,1.0,0.0,inf,0.0,0.36732449794548294,0.0,0.6836622489727415
"frozenset({'slag_weight_close_grab1, tonn_1.8', 'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'kind_B 789/BC'}),0.3676138665432027,0.9997106314022802,0.36732449794548294,0.9992128463476071,0.99950207086027,1.0,-0.0001829926886558475,0.3676138665432226,-0.0007871536523930473,0.36732449794548294,-1.7202455919393997,0.6833218336172445
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",0.3676138665432027,0.9997106314022802,0.36732449794548294,0.9992128463476071,0.99950207086027,1.0,-0.0001829926886558475,0.3676138665432226,-0.0007871536523930473,0.36732449794548294,-1.7202455919393997,0.6833218336172445
"frozenset({'metal_residue_grab1, tonn_0.4', 'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.367266624225939,1.0,0.367266624225939,1.0,1.0,1.0,0.0,inf,0.0,0.367266624225939,0.0,0.6836333121129695
"frozenset({'slag_weight_close_grab1, tonn_1.8', 'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.3676138665432027,0.9993633890850165,0.367266624225939,0.9990554156171284,0.9996918303479477,1.0,-0.00011321531732305656,0.6739587553291152,-0.0004872251924224649,0.3673729304156535,-0.48377032287631405,0.6832779973614944
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",0.3676138665432027,0.9993633890850165,0.367266624225939,0.9990554156171284,0.9996918303479477,1.0,-0.00011321531732305656,0.6739587553291152,-0.0004872251924224649,0.3673729304156535,-0.48377032287631405,0.6832779973614944
"frozenset({'metal_residue_grab1, tonn_0.4', 'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'kind_B 789/BC'}),0.367266624225939,0.9997106314022802,0.3669772556282192,0.9992121021115663,0.9995013264088083,1.0,-0.00018309316967823897,0.3672666242259201,-0.0007878978884336556,0.3669772556282192,-1.7228175228491789,0.6831477900855388
"frozenset({'kind_B 789/BC', 'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.36732449794548294,0.9993633890850165,0.3669772556282192,0.9990546714983456,0.999691085755149,1.0,-0.00011339953253081125,0.6734282462332775,-0.00048817893109596636,0.36708347805951136,-0.48493919818979064,0.6831328488369652
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'metal_residue_grab1, tonn_0.4', 'kind_B 789/BC'})",0.3676138665432027,0.9990740204872968,0.3669772556282192,0.9982682619647355,0.9991934946700263,1.0,-0.00029620800597890407,0.5347110786082638,-0.0012747391971559229,0.36708347805951136,-0.8701688444585468,0.6827928229825995
"frozenset({'alloy_type_open', 'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.3669772556282192,1.0,0.3669772556282192,1.0,1.0,1.0,0.0,inf,0.0,0.3669772556282192,0.0,0.6834886278141096
"frozenset({'slag_weight_close_grab1, tonn_1.8', 'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'alloy_type_open'}),0.3676138665432027,0.989698477921176,0.3669772556282192,0.9982682619647355,1.0086589847663099,1.0,0.0031503714476931455,5.948660749517208,0.013575013674424619,0.3705586722767648,0.8318949353295765,0.68453264568911
"frozenset({'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'alloy_type_open', 'slag_weight_close_grab1, tonn_1.8'})",0.3676138665432027,0.989698477921176,0.3669772556282192,0.9982682619647355,1.0086589847663099,1.0,0.0031503714476931455,5.948660749517208,0.013575013674424619,0.3705586722767648,0.8318949353295765,0.68453264568911
"frozenset({'kind_B 789/BC', 'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'alloy_type_open'}),0.36732449794548294,0.989698477921176,0.3666878870304994,0.9982668977469671,1.0086576063487425,1.0,0.003147390510694792,5.943978239481472,0.01356666336341814,0.3702664796633941,0.831762506572158,0.6843857732989558
"frozenset({'alloy_type_open', 'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'kind_B 789/BC'}),0.3669772556282192,0.9997106314022802,0.3666878870304994,0.9992114808389844,0.9995007049563975,1.0,-0.0001831769038636022,0.3669772556282088,-0.000788519161015682,0.3666878870304994,-1.7249645166378316,0.6830027532711768
