KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,1574.0,,1574.0,1574.0,1574.0,1574.0,1574.0
0,0,71,0,1,-1,-1,6.0,1566.0,0.0,1566.0,1566.0,1566.0,1566.0,1566.0
0,0,153,0,-1,-1,-1,2.0,1574.0,0.0,1574.0,1574.0,1574.0,1574.0,1574.0
0,0,153,0,1,-1,-1,3.0,1574.0,0.0,1574.0,1574.0,1574.0,1574.0,1574.0
0,1,-1,0,-1,-1,-1,4.0,1569.0,4.0,1567.0,1567.0,1567.0,1569.0,1575.0
0,1,-1,0,-1,-1,1,1.0,1576.0,,1576.0,1576.0,1576.0,1576.0,1576.0
0,1,-1,0,-1,1,1,2.0,1578.5,3.5355339059327378,1576.0,1577.25,1578.5,1579.75,1581.0
0,1,-1,0,1,-1,1,13.0,1575.4615384615386,3.950008114240286,1572.0,1573.0,1574.0,1576.0,1582.0
0,1,-1,0,1,1,1,8.0,1575.375,4.627171304989074,1567.0,1572.75,1576.5,1579.0,1580.0
0,1,0,0,-1,1,-1,2.0,1565.0,0.0,1565.0,1565.0,1565.0,1565.0,1565.0
0,1,0,0,-1,1,1,44.0,1564.9318181818182,3.280653134579938,1561.0,1563.0,1563.0,1567.25,1574.0
0,1,0,0,1,-1,1,4.0,1572.0,0.0,1572.0,1572.0,1572.0,1572.0,1572.0
0,1,0,0,1,1,-1,1.0,1565.0,,1565.0,1565.0,1565.0,1565.0,1565.0
0,1,0,0,1,1,1,1500.0,1567.7013333333334,3.6814626169801548,1560.0,1565.0,1567.0,1570.0,1582.0
0,1,1,0,1,1,1,13.0,1565.2307692307693,1.589226549501683,1563.0,1564.0,1565.0,1566.0,1568.0
0,1,151,0,1,-1,1,4.0,1572.0,0.0,1572.0,1572.0,1572.0,1572.0,1572.0
0,1,151,0,1,1,1,1.0,1572.0,,1572.0,1572.0,1572.0,1572.0,1572.0
0,1,152,0,1,-1,1,5.0,1574.0,0.0,1574.0,1574.0,1574.0,1574.0,1574.0
0,1,154,0,-1,1,1,5.0,1581.0,0.0,1581.0,1581.0,1581.0,1581.0,1581.0
0,1,155,0,-1,-1,-1,2.0,1575.0,0.0,1575.0,1575.0,1575.0,1575.0,1575.0
0,1,155,0,-1,-1,1,3.0,1575.0,0.0,1575.0,1575.0,1575.0,1575.0,1575.0
0,1,156,0,1,1,1,5.0,1580.0,0.0,1580.0,1580.0,1580.0,1580.0,1580.0
0,1,157,0,1,-1,1,1.0,1567.0,,1567.0,1567.0,1567.0,1567.0,1567.0
0,1,157,0,1,1,1,4.0,1567.0,0.0,1567.0,1567.0,1567.0,1567.0,1567.0
0,1,158,0,-1,-1,1,1.0,1573.0,,1573.0,1573.0,1573.0,1573.0,1573.0
0,1,158,0,1,-1,1,3.0,1573.0,0.0,1573.0,1573.0,1573.0,1573.0,1573.0
0,1,158,0,1,1,1,1.0,1573.0,,1573.0,1573.0,1573.0,1573.0,1573.0
0,1,159,0,-1,1,1,3.0,1576.0,0.0,1576.0,1576.0,1576.0,1576.0,1576.0
0,1,159,0,1,1,1,2.0,1576.0,0.0,1576.0,1576.0,1576.0,1576.0,1576.0
0,1,160,0,1,-1,1,3.0,1574.0,0.0,1574.0,1574.0,1574.0,1574.0,1574.0
0,1,160,0,1,1,1,2.0,1574.0,0.0,1574.0,1574.0,1574.0,1574.0,1574.0
0,1,161,0,1,1,1,5.0,1574.0,0.0,1574.0,1574.0,1574.0,1574.0,1574.0
0,1,222,0,-1,-1,1,4.0,1581.0,0.0,1581.0,1581.0,1581.0,1581.0,1581.0
0,1,222,0,1,-1,1,7.0,1581.0,0.0,1581.0,1581.0,1581.0,1581.0,1581.0
0,1,225,0,-1,-1,1,7.0,1567.0,0.0,1567.0,1567.0,1567.0,1567.0,1567.0
0,1,225,0,1,-1,1,4.0,1567.0,0.0,1567.0,1567.0,1567.0,1567.0,1567.0
0,1,226,0,1,-1,-1,5.0,1566.0,0.0,1566.0,1566.0,1566.0,1566.0,1566.0
0,1,226,0,1,-1,1,2.0,1566.0,0.0,1566.0,1566.0,1566.0,1566.0,1566.0
0,1,241,0,-1,1,1,12.0,1584.0,0.0,1584.0,1584.0,1584.0,1584.0,1584.0
0,1,247,0,1,1,1,13.0,1568.0,0.0,1568.0,1568.0,1568.0,1568.0,1568.0
0,1,248,0,1,-1,1,1.0,1567.0,,1567.0,1567.0,1567.0,1567.0,1567.0
0,1,248,0,1,1,-1,1.0,1567.0,,1567.0,1567.0,1567.0,1567.0,1567.0
0,1,248,0,1,1,1,11.0,1567.0,0.0,1567.0,1567.0,1567.0,1567.0,1567.0
0,1,250,0,-1,1,-1,1.0,1566.0,,1566.0,1566.0,1566.0,1566.0,1566.0
0,1,250,0,1,1,-1,12.0,1566.0,0.0,1566.0,1566.0,1566.0,1566.0,1566.0
0,1,251,0,1,1,-1,9.0,1564.0,0.0,1564.0,1564.0,1564.0,1564.0,1564.0
0,1,251,0,1,1,1,4.0,1564.0,0.0,1564.0,1564.0,1564.0,1564.0,1564.0
0,1,252,0,-1,1,1,1.0,1566.0,,1566.0,1566.0,1566.0,1566.0,1566.0
0,1,252,0,1,1,1,12.0,1566.0,0.0,1566.0,1566.0,1566.0,1566.0,1566.0
