IsolationForest,LOF,OneClassSVM,steel_type,count
-1,-1,-1,1015,41
-1,-1,-1,25G2S,28
-1,-1,-1,Arm500,13
-1,-1,-1,Arm240,10
-1,-1,-1,1010,9
-1,-1,-1,St3sp,7
-1,-1,-1,1008,6
-1,-1,-1,1018,4
-1,-1,1,St3sp,15
-1,-1,1,St4sp,11
-1,-1,1,25G2S,4
-1,-1,1,Arm240,1
-1,-1,1,1018,1
-1,1,-1,25G2S,85
-1,1,-1,1010,55
-1,1,-1,St4sp,28
-1,1,-1,1008,24
-1,1,-1,20,24
-1,1,-1,1015,23
-1,1,-1,St3sp,12
-1,1,-1,Arm500,1
-1,1,1,25G2S,302
-1,1,1,St4sp,74
-1,1,1,1010,45
-1,1,1,1015,23
-1,1,1,St3sp,17
-1,1,1,Arm500,1
1,-1,-1,Arm500,207
1,-1,-1,1015,17
1,-1,-1,St3sp,10
1,-1,-1,1018,8
1,-1,-1,St4sp,5
1,-1,1,Arm500,367
1,-1,1,St3sp,41
1,-1,1,St4sp,28
1,-1,1,1018,14
1,-1,1,Arm240,11
1,-1,1,1015,6
1,1,-1,Arm500,171
1,1,-1,YP,29
1,1,-1,St4sp,29
1,1,-1,1015,9
1,1,-1,St3sp,9
1,1,1,Arm500,12885
1,1,1,St4sp,1177
1,1,1,St3sp,679
1,1,1,1015,405
1,1,1,1018,193
1,1,1,Arm240,75
1,1,1,V500V,24
1,1,1,YP,16
