antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'steel_weight, tonn_Low'})",frozenset({'steel_type_Arm500'}),0.45291972915099254,0.7896869031772672,0.3806933271601366,0.8405315614617941,1.064385844668255,1.0,0.023028548859002684,1.318838377992554,0.11057074965013108,0.4416840126233801,0.24175697592139242,0.6613064549705453
"frozenset({'steel_weight, tonn_Low', 'crystallizer_movement, mm_Low'})",frozenset({'steel_type_Arm500'}),0.28624341686440186,0.7896869031772672,0.25007234214942997,0.8736352608168219,1.1063058755334456,1.0,0.02402966473090093,1.6643337230163808,0.13462692396616457,0.30280308339173095,0.39915896303078285,0.5951540173633395
"frozenset({'steel_weight, tonn_Low', 'steel_type_Arm500'})","frozenset({'crystallizer_movement, mm_Low'})",0.3806933271601366,0.6223161062561491,0.25007234214942997,0.6568865916692004,1.0555513268345684,1.0,0.01316075311343548,1.1007552738356452,0.08497855090833357,0.33212913143735595,0.09153285587681786,0.5293639691350744
"frozenset({'steel_weight, tonn_Low'})","frozenset({'crystallizer_movement, mm_Low', 'steel_type_Arm500'})",0.45291972915099254,0.5500318305457492,0.25007234214942997,0.5521339125990289,1.0038217461909322,1.0,0.0009520744342245979,1.0046935503991345,0.006959117805521816,0.33215466215696826,0.004671623896928529,0.5033922929998511
"frozenset({'steel_weight, tonn_Low', 'steel_type_Arm500'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.3806933271601366,0.7953006539730308,0.3806933271601366,1.0,1.257386115558143,1.0,0.077927675106511,inf,0.33052985702270826,0.47867850385678945,1.0,0.7393392519283948
"frozenset({'steel_weight, tonn_Low', 'doc_requirement_DOC 34028-2016'})",frozenset({'steel_type_Arm500'}),0.38127206435557615,0.7896869031772672,0.3806933271601366,0.9984820886460231,1.2644024924671773,1.0,0.07960777139117797,138.55426818681508,0.3379718092743678,0.48172830465031125,0.9927826113689137,0.7402817185626598
"frozenset({'steel_weight, tonn_Low'})","frozenset({'steel_type_Arm500', 'doc_requirement_DOC 34028-2016'})",0.45291972915099254,0.7896869031772672,0.3806933271601366,0.8405315614617941,1.064385844668255,1.0,0.023028548859002684,1.318838377992554,0.11057074965013108,0.4416840126233801,0.24175697592139242,0.6613064549705453
"frozenset({'steel_weight, tonn_Low', 'workpiece_slice_geometry_180x180'})",frozenset({'steel_type_Arm500'}),0.4179061288268997,0.7896869031772672,0.3806933271601366,0.9109541614734802,1.1535637197581725,1.0,0.050678330468022115,2.3618520562316556,0.22869359841227374,0.4603863381858902,0.5766034551734354,0.6965177549763883
"frozenset({'steel_weight, tonn_Low', 'steel_type_Arm500'})",frozenset({'workpiece_slice_geometry_180x180'}),0.3806933271601366,0.8681057931593263,0.3806933271601366,1.0,1.1519333333333333,1.0,0.05021124443532332,inf,0.21297075039715924,0.4385333333333334,1.0,0.7192666666666667
"frozenset({'steel_weight, tonn_Low'})","frozenset({'workpiece_slice_geometry_180x180', 'steel_type_Arm500'})",0.45291972915099254,0.7896869031772672,0.3806933271601366,0.8405315614617941,1.064385844668255,1.0,0.023028548859002684,1.318838377992554,0.11057074965013108,0.4416840126233801,0.24175697592139242,0.6613064549705453
