RUL_class,steel_type,count
Critical,Arm500,4849
Critical,St4sp,395
Critical,1015,179
Critical,St3sp,101
Critical,1018,94
Critical,Arm240,73
Critical,YP,23
Critical,20,18
Critical,V500V,17
Critical,1008,10
Critical,25G2S,3
Low,Arm500,3955
Low,St4sp,910
Low,St3sp,395
Low,1015,161
Low,25G2S,140
Low,1018,73
Low,1010,65
Low,Arm240,24
Low,1008,15
Low,YP,12
Low,20,6
Low,V500V,1
Healthy,Arm500,4841
Healthy,St3sp,294
Healthy,25G2S,276
Healthy,1015,184
Healthy,1018,53
Healthy,St4sp,47
Healthy,1010,44
Healthy,YP,10
Healthy,V500V,6
Healthy,1008,5
