KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,166.3,,166.3,166.3,166.3,166.3,166.3
0,0,71,0,1,-1,-1,6.0,171.5,0.0,171.5,171.5,171.5,171.5,171.5
0,0,153,0,-1,-1,-1,2.0,166.3,0.0,166.3,166.3,166.3,166.3,166.3
0,0,153,0,1,-1,-1,3.0,166.3,0.0,166.3,166.3,166.3,166.3,166.3
0,1,-1,0,-1,-1,-1,4.0,150.025,9.449999999999989,145.3,145.3,145.3,150.025,164.2
0,1,-1,0,-1,-1,1,1.0,173.088,,173.088,173.088,173.088,173.088,173.088
0,1,-1,0,-1,1,1,2.0,162.38,6.335676759431471,157.9,160.14000000000001,162.38,164.62,166.86
0,1,-1,0,1,-1,1,13.0,167.19815384615387,3.888627046618423,162.3,164.2,164.2,170.5,173.088
0,1,-1,0,1,1,1,8.0,165.525,4.334166586553868,157.9,163.22500000000002,168.4,168.4,168.4
0,1,0,0,-1,1,-1,2.0,170.5,0.0,170.5,170.5,170.5,170.5,170.5
0,1,0,0,-1,1,1,44.0,167.6840909090909,3.9207227135050644,157.9,164.2,170.5,170.5,172.6
0,1,0,0,1,-1,1,4.0,170.5,0.0,170.5,170.5,170.5,170.5,170.5
0,1,0,0,1,1,-1,1.0,170.5,,170.5,170.5,170.5,170.5,170.5
0,1,0,0,1,1,1,1500.0,165.38253333333336,3.394927874403791,151.6,164.2,166.3,168.4,174.7
0,1,1,0,1,1,1,13.0,167.1076923076923,3.3794628612797677,162.1,164.2,166.3,168.4,174.7
0,1,151,0,1,-1,1,4.0,168.4,0.0,168.4,168.4,168.4,168.4,168.4
0,1,151,0,1,1,1,1.0,168.4,,168.4,168.4,168.4,168.4,168.4
0,1,152,0,1,-1,1,5.0,168.4,0.0,168.4,168.4,168.4,168.4,168.4
0,1,154,0,-1,1,1,5.0,166.86,0.0,166.86,166.86,166.86,166.86,166.86
0,1,155,0,-1,-1,-1,2.0,164.2,0.0,164.2,164.2,164.2,164.2,164.2
0,1,155,0,-1,-1,1,3.0,164.2,0.0,164.2,164.2,164.2,164.2,164.2
0,1,156,0,1,1,1,5.0,164.3,0.0,164.3,164.3,164.3,164.3,164.3
0,1,157,0,1,-1,1,1.0,168.4,,168.4,168.4,168.4,168.4,168.4
0,1,157,0,1,1,1,4.0,168.4,0.0,168.4,168.4,168.4,168.4,168.4
0,1,158,0,-1,-1,1,1.0,157.9,,157.9,157.9,157.9,157.9,157.9
0,1,158,0,1,-1,1,3.0,157.9,0.0,157.9,157.9,157.9,157.9,157.9
0,1,158,0,1,1,1,1.0,157.9,,157.9,157.9,157.9,157.9,157.9
0,1,159,0,-1,1,1,3.0,157.9,0.0,157.9,157.9,157.9,157.9,157.9
0,1,159,0,1,1,1,2.0,157.9,0.0,157.9,157.9,157.9,157.9,157.9
0,1,160,0,1,-1,1,3.0,162.3,0.0,162.3,162.3,162.3,162.3,162.3
0,1,160,0,1,1,1,2.0,162.3,0.0,162.3,162.3,162.3,162.3,162.3
0,1,161,0,1,1,1,5.0,160.0,0.0,160.0,160.0,160.0,160.0,160.0
0,1,222,0,-1,-1,1,4.0,164.8,0.0,164.8,164.8,164.8,164.8,164.8
0,1,222,0,1,-1,1,7.0,164.79999999999998,3.0698954837323625e-14,164.8,164.8,164.8,164.8,164.8
0,1,225,0,-1,-1,1,7.0,164.20000000000002,3.0698954837323625e-14,164.2,164.2,164.2,164.2,164.2
0,1,225,0,1,-1,1,4.0,164.2,0.0,164.2,164.2,164.2,164.2,164.2
0,1,226,0,1,-1,-1,5.0,175.921,0.0,175.921,175.921,175.921,175.921,175.921
0,1,226,0,1,-1,1,2.0,175.921,0.0,175.921,175.921,175.921,175.921,175.921
0,1,241,0,-1,1,1,12.0,162.70000000000002,2.968550733539209e-14,162.7,162.7,162.7,162.7,162.7
0,1,247,0,1,1,1,13.0,172.59999999999997,2.958225308398898e-14,172.6,172.6,172.6,172.6,172.6
0,1,248,0,1,-1,1,1.0,169.048,,169.048,169.048,169.048,169.048,169.048
