KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,1547.0,,1547.0,1547.0,1547.0,1547.0,1547.0
0,0,71,0,1,-1,-1,6.0,1547.0,0.0,1547.0,1547.0,1547.0,1547.0,1547.0
0,0,153,0,-1,-1,-1,2.0,1547.0,0.0,1547.0,1547.0,1547.0,1547.0,1547.0
0,0,153,0,1,-1,-1,3.0,1547.0,0.0,1547.0,1547.0,1547.0,1547.0,1547.0
0,1,-1,0,-1,-1,-1,4.0,1548.25,1.5,1546.0,1548.25,1549.0,1549.0,1549.0
0,1,-1,0,-1,-1,1,1.0,1549.0,,1549.0,1549.0,1549.0,1549.0,1549.0
0,1,-1,0,-1,1,1,2.0,1548.5,2.1213203435596424,1547.0,1547.75,1548.5,1549.25,1550.0
0,1,-1,0,1,-1,1,13.0,1545.0,4.47213595499958,1536.0,1541.0,1544.0,1549.0,1550.0
0,1,-1,0,1,1,1,8.0,1546.625,3.113908889391045,1540.0,1546.0,1547.0,1547.75,1550.0
0,1,0,0,-1,1,-1,2.0,1542.0,0.0,1542.0,1542.0,1542.0,1542.0,1542.0
0,1,0,0,-1,1,1,44.0,1541.9545454545455,2.7275898335731155,1538.0,1539.75,1542.0,1543.0,1549.0
0,1,0,0,1,-1,1,4.0,1547.0,0.0,1547.0,1547.0,1547.0,1547.0,1547.0
0,1,0,0,1,1,-1,1.0,1542.0,,1542.0,1542.0,1542.0,1542.0,1542.0
0,1,0,0,1,1,1,1500.0,1542.1853333333333,3.1405243964257386,1534.0,1540.0,1542.0,1544.0,1550.0
0,1,1,0,1,1,1,13.0,1543.3846153846155,3.1764356737928106,1538.0,1541.0,1543.0,1545.0,1549.0
0,1,151,0,1,-1,1,4.0,1546.0,0.0,1546.0,1546.0,1546.0,1546.0,1546.0
0,1,151,0,1,1,1,1.0,1546.0,,1546.0,1546.0,1546.0,1546.0,1546.0
0,1,152,0,1,-1,1,5.0,1546.0,0.0,1546.0,1546.0,1546.0,1546.0,1546.0
0,1,154,0,-1,1,1,5.0,1547.0,0.0,1547.0,1547.0,1547.0,1547.0,1547.0
0,1,155,0,-1,-1,-1,2.0,1546.0,0.0,1546.0,1546.0,1546.0,1546.0,1546.0
0,1,155,0,-1,-1,1,3.0,1546.0,0.0,1546.0,1546.0,1546.0,1546.0,1546.0
0,1,156,0,1,1,1,5.0,1540.0,0.0,1540.0,1540.0,1540.0,1540.0,1540.0
0,1,157,0,1,-1,1,1.0,1550.0,,1550.0,1550.0,1550.0,1550.0,1550.0
0,1,157,0,1,1,1,4.0,1550.0,0.0,1550.0,1550.0,1550.0,1550.0,1550.0
0,1,158,0,-1,-1,1,1.0,1550.0,,1550.0,1550.0,1550.0,1550.0,1550.0
0,1,158,0,1,-1,1,3.0,1550.0,0.0,1550.0,1550.0,1550.0,1550.0,1550.0
0,1,158,0,1,1,1,1.0,1550.0,,1550.0,1550.0,1550.0,1550.0,1550.0
0,1,159,0,-1,1,1,3.0,1550.0,0.0,1550.0,1550.0,1550.0,1550.0,1550.0
0,1,159,0,1,1,1,2.0,1550.0,0.0,1550.0,1550.0,1550.0,1550.0,1550.0
0,1,160,0,1,-1,1,3.0,1536.0,0.0,1536.0,1536.0,1536.0,1536.0,1536.0
0,1,160,0,1,1,1,2.0,1536.0,0.0,1536.0,1536.0,1536.0,1536.0,1536.0
0,1,161,0,1,1,1,5.0,1546.0,0.0,1546.0,1546.0,1546.0,1546.0,1546.0
0,1,222,0,-1,-1,1,4.0,1549.0,0.0,1549.0,1549.0,1549.0,1549.0,1549.0
0,1,222,0,1,-1,1,7.0,1549.0,0.0,1549.0,1549.0,1549.0,1549.0,1549.0
0,1,225,0,-1,-1,1,7.0,1535.0,0.0,1535.0,1535.0,1535.0,1535.0,1535.0
0,1,225,0,1,-1,1,4.0,1535.0,0.0,1535.0,1535.0,1535.0,1535.0,1535.0
0,1,226,0,1,-1,-1,5.0,1540.0,0.0,1540.0,1540.0,1540.0,1540.0,1540.0
0,1,226,0,1,-1,1,2.0,1540.0,0.0,1540.0,1540.0,1540.0,1540.0,1540.0
0,1,241,0,-1,1,1,12.0,1549.0,0.0,1549.0,1549.0,1549.0,1549.0,1549.0
0,1,247,0,1,1,1,13.0,1540.0,0.0,1540.0,1540.0,1540.0,1540.0,1540.0
0,1,248,0,1,-1,1,1.0,1543.0,,1543.0,1543.0,1543.0,1543.0,1543.0
0,1,248,0,1,1,-1,1.0,1543.0,,1543.0,1543.0,1543.0,1543.0,1543.0
0,1,248,0,1,1,1,11.0,1543.0,0.0,1543.0,1543.0,1543.0,1543.0,1543.0
0,1,250,0,-1,1,-1,1.0,1536.0,,1536.0,1536.0,1536.0,1536.0,1536.0
0,1,250,0,1,1,-1,12.0,1536.0,0.0,1536.0,1536.0,1536.0,1536.0,1536.0
0,1,251,0,1,1,-1,9.0,1541.0,0.0,1541.0,1541.0,1541.0,1541.0,1541.0
0,1,251,0,1,1,1,4.0,1541.0,0.0,1541.0,1541.0,1541.0,1541.0,1541.0
0,1,252,0,-1,1,1,1.0,1538.0,,1538.0,1538.0,1538.0,1538.0,1538.0
0,1,252,0,1,1,1,12.0,1538.0,0.0,1538.0,1538.0,1538.0,1538.0,1538.0
0,1,265,0,-1,1,-1,1.0,1548.0,,1548.0,1548.0,1548.0,1548.0,1548.0
0,1,265,0,1,1,1,12.0,1548.0,0.0,1548.0,1548.0,1548.0,1548.0,1548.0
0,1,267,0,1,1,1,42.0,1543.8333333333333,2.945990799140059,1541.0,1542.0,1543.0,1544.0,1550.0
0,1,268,0,-1,1,-1,7.0,1540.0,0.0,1540.0,1540.0,1540.0,1540.0,1540.0
0,1,269,0,-1,1,-1,2.0,1544.0,0.0,1544.0,1544.0,1544.0,1544.0,1544.0
0,1,269,0,1,1,-1,3.0,1544.0,0.0,1544.0,1544.0,1544.0,1544.0,1544.0
0,1,269,0,1,1,1,2.0,1544.0,0.0,1544.0,1544.0,1544.0,1544.0,1544.0
0,1,270,0,-1,1,-1,3.0,1537.0,0.0,1537.0,1537.0,1537.0,1537.0,1537.0
0,1,270,0,1,1,-1,2.0,1537.0,0.0,1537.0,1537.0,1537.0,1537.0,1537.0
0,1,270,0,1,1,1,2.0,1537.0,0.0,1537.0,1537.0,1537.0,1537.0,1537.0
0,1,271,0,-1,1,-1,6.0,1532.0,0.0,1532.0,1532.0,1532.0,1532.0,1532.0
0,1,271,0,1,1,-1,1.0,1532.0,,1532.0,1532.0,1532.0,1532.0,1532.0
0,1,272,0,1,1,1,7.0,1538.0,0.0,1538.0,1538.0,1538.0,1538.0,1538.0
0,1,273,0,-1,1,1,1.0,1535.0,,1535.0,1535.0,1535.0,1535.0,1535.0
0,1,273,0,1,1,1,6.0,1535.0,0.0,1535.0,1535.0,1535.0,1535.0,1535.0
0,1,274,0,-1,1,-1,6.0,1541.0,0.0,1541.0,1541.0,1541.0,1541.0,1541.0
0,1,274,0,-1,1,1,7.0,1541.0,0.0,1541.0,1541.0,1541.0,1541.0,1541.0
0,1,276,0,-1,1,1,13.0,1541.0,0.0,1541.0,1541.0,1541.0,1541.0,1541.0
0,1,310,0,1,1,1,13.0,1547.0,0.0,1547.0,1547.0,1547.0,1547.0,1547.0
0,1,311,0,1,1,1,13.0,1540.0,0.0,1540.0,1540.0,1540.0,1540.0,1540.0
0,1,312,0,-1,-1,-1,2.0,1545.0,0.0,1545.0,1545.0,1545.0,1545.0,1545.0
0,1,312,0,-1,-1,1,11.0,1545.0,0.0,1545.0,1545.0,1545.0,1545.0,1545.0
0,1,313,0,-1,1,-1,12.0,1550.0,0.0,1550.0,1550.0,1550.0,1550.0,1550.0
0,1,313,0,-1,1,1,1.0,1550.0,,1550.0,1550.0,1550.0,1550.0,1550.0
0,1,314,0,1,1,-1,9.0,1544.0,0.0,1544.0,1544.0,1544.0,1544.0,1544.0
0,1,314,0,1,1,1,4.0,1544.0,0.0,1544.0,1544.0,1544.0,1544.0,1544.0
0,1,315,0,1,1,1,10.0,1546.0,0.0,1546.0,1546.0,1546.0,1546.0,1546.0
0,1,316,0,1,1,1,10.0,1546.0,0.0,1546.0,1546.0,1546.0,1546.0,1546.0
0,1,348,0,1,1,1,72.0,1547.0,3.0210528898680806,1544.0,1544.0,1546.5,1549.0,1554.0
0,1,349,0,1,-1,1,9.0,1549.0,0.0,1549.0,1549.0,1549.0,1549.0,1549.0
0,1,353,0,1,-1,1,5.0,1542.0,0.0,1542.0,1542.0,1542.0,1542.0,1542.0
0,1,353,0,1,1,1,4.0,1542.0,0.0,1542.0,1542.0,1542.0,1542.0,1542.0
0,1,355,0,1,-1,1,5.0,1542.0,0.0,1542.0,1542.0,1542.0,1542.0,1542.0
0,1,355,0,1,1,1,4.0,1542.0,0.0,1542.0,1542.0,1542.0,1542.0,1542.0
0,1,526,0,1,-1,-1,7.0,1541.0,0.0,1541.0,1541.0,1541.0,1541.0,1541.0
0,1,556,0,-1,1,1,7.0,1544.5714285714287,2.439750182371333,1541.0,1543.5,1546.0,1546.0,1546.0
0,1,556,0,1,1,1,5.0,1542.0,2.23606797749979,1541.0,1541.0,1541.0,1541.0,1546.0
0,1,557,0,-1,1,-1,6.0,1541.0,0.0,1541.0,1541.0,1541.0,1541.0,1541.0
0,1,558,0,-1,1,-1,5.0,1542.0,0.0,1542.0,1542.0,1542.0,1542.0,1542.0
0,1,558,0,1,1,-1,1.0,1542.0,,1542.0,1542.0,1542.0,1542.0,1542.0
