antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Ni, %_High', 'temperature_measurement2, Celsius deg._Low'})",frozenset({'alloy_type_open'}),0.1629145205162336,0.989698477921176,0.1629145205162336,1.0,1.0104087480264312,1.0,0.0016782675300590078,inf,0.012306415929203547,0.1646102567101339,1.0,0.582305128355067
"frozenset({'Ni, %_High', 'temperature_measurement2, Celsius deg._Low'})",frozenset({'kind_B 789/BC'}),0.1629145205162336,0.9997106314022802,0.1629145205162336,1.0,1.000289452356142,1.0,4.7142346349976494e-05,inf,0.0003456858407079968,0.1629616765080468,1.0,0.5814808382540234
"frozenset({'Ni, %_High', 'temperature_measurement2, Celsius deg._Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.1629145205162336,1.0,0.1629145205162336,1.0,1.0,1.0,0.0,inf,0.0,0.1629145205162336,0.0,0.5814572602581168
"frozenset({'Ni, %_High', 'temperature_measurement2, Celsius deg._Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.1629145205162336,0.9993633890850165,0.1629145205162336,1.0,1.0006370164466063,1.0,0.00010371316196994274,inf,0.0007605088495575523,0.16301829974519344,1.0,0.5815091498725967
"frozenset({'Ni, %_High', 'temperature_measurement2, Celsius deg._Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.1629145205162336,0.9745355634006597,0.15909485502633255,0.9765541740674956,1.0020713565955375,1.0,0.0003288609888965066,1.086096803441559,0.002469371404565441,0.16261461106181607,0.07927175843694645,0.5699030743251546
"frozenset({'workpiece_slice_geometry_180x180', 'Ni, %_High'})","frozenset({'temperature_measurement2, Celsius deg._Low'})",0.3088720412060883,0.4006597604028011,0.15932634990450836,0.5158328649053776,1.2874586267080774,1.0,0.03557375187975291,1.2378788152980849,0.32306030789450135,0.2895761018197118,0.19216648056199492,0.45674641945254435
"frozenset({'Ni, %_High', 'temperature_measurement2, Celsius deg._Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.1629145205162336,0.8681057931593263,0.15932634990450836,0.97797513321492,1.1265621551213736,1.0,0.017899310854592065,5.9884224557499275,0.13420815164631342,0.1827778515469393,0.8330111131288298,0.5807542332741267
"frozenset({'alloy_speed, meter/minute_2.0', 'Ni, %_High'})","frozenset({'temperature_measurement2, Celsius deg._Low'})",0.3106661265119509,0.4006597604028011,0.15880548642861278,0.5111773472429211,1.2758389979792624,1.0,0.03433407061506823,1.2260893316150017,0.31363908169262167,0.28742013197863203,0.1843987430485161,0.4537686533990136
"frozenset({'Ni, %_High', 'temperature_measurement2, Celsius deg._Low'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.1629145205162336,0.8727935644423868,0.15880548642861278,0.974777975133215,1.1168482615427904,1.0,0.016614741367826924,5.043466423868757,0.12498510930525814,0.18109820485744454,0.8017236725781716,0.5783643870759239
"frozenset({'N, %_High'})","frozenset({'temperature_measurement2, Celsius deg._Low'})",0.31882632096764857,0.4006597604028011,0.1756467388159037,0.550916681793429,1.3750237389439057,1.0,0.04790586144689907,1.3345858447619117,0.40039689882551205,0.3229754176864957,0.25070387646858433,0.49465522086204744
