RUL_class,time_temperature_measurement1,count
Critical,3:40:00,34
Critical,14:05:00,32
Critical,5:00:00,31
Critical,5:45:00,30
Critical,2:00:00,29
Critical,3:00:00,29
Critical,9:35:00,28
Critical,1:25:00,27
Critical,7:20:00,26
Critical,7:30:00,25
Critical,12:00:00,25
Critical,2:45:00,24
Critical,3:30:00,23
Critical,13:25:00,22
Critical,8:40:00,22
Critical,9:55:00,22
Critical,7:00:00,22
Critical,10:40:00,21
Critical,23:25:00,21
Critical,3:10:00,21
Critical,5:55:00,21
Critical,22:05:00,21
Critical,6:05:00,21
Critical,3:55:00,21
Critical,19:30:00,21
Critical,11:35:00,21
Critical,16:50:00,20
Critical,0:45:00,20
Critical,8:25:00,20
Critical,10:00:00,20
Critical,4:45:00,20
Critical,19:20:00,19
Critical,20:45:00,19
Critical,4:10:00,19
Critical,11:25:00,19
Critical,2:15:00,19
Critical,12:10:00,19
Critical,16:30:00,19
Critical,17:55:00,18
Critical,0:40:00,18
Critical,0:35:00,18
Critical,6:32:00,18
Critical,6:35:00,18
Critical,23:40:00,18
Critical,20:05:00,18
Critical,22:00:00,18
Critical,4:00:00,17
Critical,1:20:00,17
Critical,15:35:00,17
Critical,6:25:00,17
Critical,17:10:00,17
Critical,18:35:00,17
Critical,17:45:00,17
Critical,1:15:00,17
Critical,7:40:00,17
Critical,14:55:00,17
Critical,9:50:00,16
Critical,9:10:00,16
Critical,6:40:00,16
Critical,20:40:00,16
Critical,4:40:00,16
Critical,9:05:00,16
Critical,22:55:00,16
Critical,10:25:00,16
Critical,0:25:00,16
Critical,19:45:00,16
Critical,0:01:00,16
Critical,6:45:00,16
Critical,8:00:00,15
Critical,4:20:00,15
Critical,22:30:00,15
Critical,4:55:00,15
Critical,20:10:00,15
Critical,14:10:00,15
Critical,21:10:00,15
Critical,14:50:00,15
Critical,20:50:00,15
Critical,7:45:00,15
Critical,2:10:00,14
Critical,2:30:00,14
Critical,13:21:00,14
Critical,12:20:00,14
Critical,6:00:00,14
Critical,8:55:00,14
Critical,16:24:00,14
Critical,6:20:00,14
Critical,2:40:00,14
Critical,3:20:00,14
Critical,17:50:00,14
Critical,1:10:00,14
Critical,4:30:00,14
Critical,14:36:00,14
Critical,0:10:00,14
Critical,10:30:00,14
Critical,1:50:00,14
Critical,18:00:00,14
Critical,22:45:00,14
Critical,8:05:00,13
Critical,7:15:00,13
Critical,3:25:00,13
Critical,23:00:00,13
Critical,8:20:00,13
Critical,20:23:00,13
Critical,17:40:00,13
Critical,5:40:00,13
Critical,5:25:00,13
Critical,9:45:00,13
Critical,6:37:00,13
Critical,14:24:00,13
Critical,18:25:00,13
Critical,5:30:00,13
