IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
-1,-1,-1,13:40:00,9
-1,-1,-1,14:35:00,9
-1,-1,-1,0:10:00,8
-1,-1,-1,7:09:00,8
-1,-1,-1,13:18:00,8
-1,-1,-1,14:40:00,7
-1,-1,-1,11:53:00,6
-1,-1,-1,2:27:00,6
-1,-1,-1,10:35:00,6
-1,-1,-1,17:30:00,5
-1,-1,-1,18:51:00,5
-1,-1,-1,3:15:00,5
-1,-1,-1,20:22:00,5
-1,-1,-1,12:54:00,4
-1,-1,-1,6:21:00,4
-1,-1,-1,17:55:00,4
-1,-1,-1,13:25:00,3
-1,-1,-1,10:50:00,3
-1,-1,-1,1:05:00,3
-1,-1,-1,7:40:00,2
-1,-1,-1,6:43:00,2
-1,-1,-1,5:40:00,2
-1,-1,-1,3:03:00,2
-1,-1,-1,4:21:00,1
-1,-1,-1,21:03:00,1
-1,-1,1,3:03:00,11
-1,-1,1,21:22:00,7
-1,-1,1,18:15:00,4
-1,-1,1,21:03:00,4
-1,-1,1,1:05:00,3
-1,-1,1,3:55:00,1
-1,-1,1,21:04:00,1
-1,-1,1,12:54:00,1
-1,1,-1,9:35:00,12
-1,1,-1,8:40:00,12
-1,1,-1,6:06:00,12
-1,1,-1,19:32:00,9
-1,1,-1,18:41:00,9
-1,1,-1,6:05:00,8
-1,1,-1,19:00:00,7
-1,1,-1,11:28:00,7
-1,1,-1,12:31:00,7
-1,1,-1,8:35:00,6
-1,1,-1,5:58:00,6
-1,1,-1,4:11:00,6
-1,1,-1,5:06:00,6
-1,1,-1,3:16:00,6
-1,1,-1,17:26:00,6
-1,1,-1,8:03:00,6
-1,1,-1,2:53:00,6
-1,1,-1,1:25:00,6
-1,1,-1,8:36:00,6
-1,1,-1,6:37:00,6
-1,1,-1,11:15:00,6
-1,1,-1,21:55:00,6
-1,1,-1,23:35:00,6
-1,1,-1,23:00:00,6
-1,1,-1,9:30:00,5
-1,1,-1,18:14:00,5
-1,1,-1,10:55:00,5
-1,1,-1,14:40:00,5
-1,1,-1,17:50:00,5
-1,1,-1,23:30:00,5
-1,1,-1,22:18:00,4
-1,1,-1,15:45:00,4
-1,1,-1,13:57:00,4
-1,1,-1,8:00:00,3
-1,1,-1,18:44:00,3
-1,1,-1,10:00:00,3
-1,1,-1,8:50:00,3
-1,1,-1,0:00:00,3
-1,1,-1,21:30:00,2
-1,1,-1,7:19:00,2
-1,1,-1,5:49:00,2
-1,1,-1,5:40:00,2
-1,1,-1,8:45:00,2
-1,1,-1,10:01:00,2
-1,1,-1,2:46:00,2
-1,1,-1,16:45:00,2
-1,1,-1,15:15:00,1
-1,1,-1,10:19:00,1
-1,1,-1,15:25:00,1
-1,1,-1,6:21:00,1
-1,1,-1,6:08:00,1
-1,1,-1,19:11:00,1
-1,1,1,3:00:00,13
-1,1,1,21:30:00,12
-1,1,1,16:45:00,12
-1,1,1,17:15:00,12
-1,1,1,8:00:00,11
-1,1,1,4:10:00,9
-1,1,1,7:00:00,9
-1,1,1,23:48:00,8
-1,1,1,14:40:00,8
-1,1,1,2:11:00,8
-1,1,1,11:06:00,8
-1,1,1,19:49:00,7
-1,1,1,23:04:00,7
-1,1,1,22:33:00,7
-1,1,1,6:37:00,7
-1,1,1,0:48:00,7
-1,1,1,1:32:00,7
-1,1,1,2:18:00,7
-1,1,1,6:51:00,7
-1,1,1,7:35:00,7
-1,1,1,8:20:00,7
-1,1,1,9:00:00,7
-1,1,1,9:42:00,7
-1,1,1,11:49:00,7
-1,1,1,10:24:00,7
-1,1,1,3:11:00,7
-1,1,1,5:46:00,7
-1,1,1,4:40:00,7
-1,1,1,3:54:00,7
-1,1,1,9:30:00,6
-1,1,1,6:34:00,6
-1,1,1,5:04:00,6
-1,1,1,4:21:00,6
-1,1,1,3:37:00,6
-1,1,1,2:10:00,6
-1,1,1,0:35:00,6
-1,1,1,1:45:00,6
-1,1,1,22:27:00,6
-1,1,1,8:50:00,6
-1,1,1,22:45:00,6
-1,1,1,6:08:00,6
-1,1,1,7:10:00,5
-1,1,1,6:30:00,5
