KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
0,0,-1,0,1,-1,-1,5:40:00,1
0,0,71,0,1,-1,-1,0:56:00,6
0,0,153,0,-1,-1,-1,5:40:00,2
0,0,153,0,1,-1,-1,5:40:00,3
0,1,-1,0,-1,-1,-1,13:25:00,3
0,1,-1,0,-1,-1,-1,1:05:00,1
0,1,-1,0,-1,-1,1,3:55:00,1
0,1,-1,0,-1,1,1,1:45:00,1
0,1,-1,0,-1,1,1,4:10:00,1
0,1,-1,0,1,-1,1,3:05:00,3
0,1,-1,0,1,-1,1,11:35:00,3
0,1,-1,0,1,-1,1,12:40:00,3
0,1,-1,0,1,-1,1,3:55:00,2
0,1,-1,0,1,-1,1,7:10:00,1
0,1,-1,0,1,-1,1,2:40:00,1
0,1,-1,0,1,1,1,14:05:00,3
0,1,-1,0,1,1,1,0:15:00,1
0,1,-1,0,1,1,1,23:18:00,1
0,1,-1,0,1,1,1,3:30:00,1
0,1,-1,0,1,1,1,20:19:00,1
0,1,-1,0,1,1,1,21:04:00,1
0,1,0,0,-1,1,-1,2:46:00,2
0,1,0,0,-1,1,1,2:11:00,8
0,1,0,0,-1,1,1,22:27:00,6
0,1,0,0,-1,1,1,15:40:00,4
0,1,0,0,-1,1,1,4:15:00,3
0,1,0,0,-1,1,1,3:40:00,3
0,1,0,0,-1,1,1,22:33:00,2
0,1,0,0,-1,1,1,7:46:00,2
0,1,0,0,-1,1,1,4:06:00,2
0,1,0,0,-1,1,1,6:20:00,1
0,1,0,0,-1,1,1,1:07:00,1
0,1,0,0,-1,1,1,8:27:00,1
0,1,0,0,-1,1,1,5:34:00,1
0,1,0,0,-1,1,1,18:02:00,1
0,1,0,0,-1,1,1,23:48:00,1
0,1,0,0,-1,1,1,23:02:00,1
0,1,0,0,-1,1,1,4:59:00,1
0,1,0,0,-1,1,1,0:31:00,1
0,1,0,0,-1,1,1,7:08:00,1
0,1,0,0,-1,1,1,6:25:00,1
0,1,0,0,-1,1,1,1:16:00,1
0,1,0,0,-1,1,1,5:13:00,1
0,1,0,0,-1,1,1,18:16:00,1
0,1,0,0,1,-1,1,4:55:00,4
0,1,0,0,1,1,-1,2:46:00,1
0,1,0,0,1,1,1,19:40:00,26
0,1,0,0,1,1,1,6:25:00,25
0,1,0,0,1,1,1,18:55:00,25
0,1,0,0,1,1,1,7:58:00,23
0,1,0,0,1,1,1,20:25:00,20
0,1,0,0,1,1,1,22:40:00,20
0,1,0,0,1,1,1,21:55:00,20
0,1,0,0,1,1,1,21:10:00,20
0,1,0,0,1,1,1,17:26:00,20
0,1,0,0,1,1,1,4:51:00,20
0,1,0,0,1,1,1,8:43:00,19
0,1,0,0,1,1,1,17:50:00,19
0,1,0,0,1,1,1,17:07:00,19
0,1,0,0,1,1,1,15:40:00,17
0,1,0,0,1,1,1,0:07:00,15
0,1,0,0,1,1,1,19:27:00,13
0,1,0,0,1,1,1,3:19:00,13
0,1,0,0,1,1,1,0:11:00,13
0,1,0,0,1,1,1,5:38:00,13
0,1,0,0,1,1,1,12:36:00,13
0,1,0,0,1,1,1,13:21:00,13
0,1,0,0,1,1,1,2:31:00,13
0,1,0,0,1,1,1,1:44:00,13
0,1,0,0,1,1,1,11:49:00,13
0,1,0,0,1,1,1,11:04:00,13
0,1,0,0,1,1,1,4:04:00,13
0,1,0,0,1,1,1,7:12:00,13
0,1,0,0,1,1,1,18:49:00,13
0,1,0,0,1,1,1,17:16:00,13
0,1,0,0,1,1,1,14:53:00,13
0,1,0,0,1,1,1,14:08:00,13
0,1,0,0,1,1,1,19:20:00,13
0,1,0,0,1,1,1,18:35:00,13
0,1,0,0,1,1,1,20:05:00,13
0,1,0,0,1,1,1,16:25:00,13
0,1,0,0,1,1,1,21:33:00,13
0,1,0,0,1,1,1,20:50:00,13
0,1,0,0,1,1,1,22:17:00,13
0,1,0,0,1,1,1,1:25:00,13
0,1,0,0,1,1,1,5:55:00,13
0,1,0,0,1,1,1,0:41:00,13
0,1,0,0,1,1,1,4:30:00,13
0,1,0,0,1,1,1,14:26:00,13
0,1,0,0,1,1,1,13:41:00,13
0,1,0,0,1,1,1,15:12:00,13
0,1,0,0,1,1,1,12:54:00,13
0,1,0,0,1,1,1,12:07:00,13
0,1,0,0,1,1,1,1:32:00,13
0,1,0,0,1,1,1,15:57:00,13
0,1,0,0,1,1,1,0:48:00,13
0,1,0,0,1,1,1,18:11:00,13
0,1,0,0,1,1,1,2:18:00,13
0,1,0,0,1,1,1,16:42:00,13
0,1,0,0,1,1,1,13:15:00,12
0,1,0,0,1,1,1,19:38:00,12
0,1,0,0,1,1,1,21:09:00,12
0,1,0,0,1,1,1,20:23:00,12
0,1,0,0,1,1,1,23:27:00,12
0,1,0,0,1,1,1,21:53:00,12
0,1,0,0,1,1,1,18:08:00,12
0,1,0,0,1,1,1,22:41:00,12
0,1,0,0,1,1,1,18:02:00,12
0,1,0,0,1,1,1,23:48:00,12
0,1,0,0,1,1,1,23:02:00,12
0,1,0,0,1,1,1,5:13:00,12
0,1,0,0,1,1,1,20:38:00,11
0,1,0,0,1,1,1,19:06:00,11
0,1,0,0,1,1,1,22:07:00,11
0,1,0,0,1,1,1,22:49:00,11
0,1,0,0,1,1,1,23:38:00,11
0,1,0,0,1,1,1,19:54:00,11
0,1,0,0,1,1,1,3:40:00,10
0,1,0,0,1,1,1,7:05:00,10
0,1,0,0,1,1,1,18:00:00,9
0,1,0,0,1,1,1,17:15:00,9
0,1,0,0,1,1,1,16:30:00,9
0,1,0,0,1,1,1,20:15:00,9
0,1,0,0,1,1,1,3:10:00,9
0,1,0,0,1,1,1,2:25:00,9
0,1,0,0,1,1,1,0:52:00,9
0,1,0,0,1,1,1,1:53:00,7
0,1,0,0,1,1,1,12:55:00,7
0,1,0,0,1,1,1,14:25:00,7
0,1,0,0,1,1,1,18:10:00,7
0,1,0,0,1,1,1,18:56:00,7
0,1,0,0,1,1,1,15:56:00,7
0,1,0,0,1,1,1,11:26:00,7
0,1,0,0,1,1,1,3:22:00,7
0,1,0,0,1,1,1,13:39:00,7
0,1,0,0,1,1,1,15:09:00,7
0,1,0,0,1,1,1,12:10:00,7
0,1,0,0,1,1,1,7:03:00,7
0,1,0,0,1,1,1,16:40:00,7
0,1,0,0,1,1,1,2:38:00,7
0,1,0,0,1,1,1,10:41:00,7
0,1,0,0,1,1,1,9:56:00,7
0,1,0,0,1,1,1,9:13:00,7
0,1,0,0,1,1,1,0:21:00,7
0,1,0,0,1,1,1,5:42:00,7
0,1,0,0,1,1,1,3:32:00,7
0,1,0,0,1,1,1,14:50:00,7
0,1,0,0,1,1,1,20:55:00,7
0,1,0,0,1,1,1,21:41:00,7
0,1,0,0,1,1,1,23:10:00,7
0,1,0,0,1,1,1,23:55:00,7
0,1,0,0,1,1,1,2:00:00,7
0,1,0,0,1,1,1,16:20:00,6
0,1,0,0,1,1,1,21:48:00,6
0,1,0,0,1,1,1,8:00:00,6
0,1,0,0,1,1,1,14:52:00,6
0,1,0,0,1,1,1,14:05:00,6
0,1,0,0,1,1,1,12:30:00,6
0,1,0,0,1,1,1,0:03:00,6
0,1,0,0,1,1,1,11:45:00,6
0,1,0,0,1,1,1,10:15:00,6
0,1,0,0,1,1,1,11:00:00,6
0,1,0,0,1,1,1,9:30:00,6
0,1,0,0,1,1,1,8:27:00,6
0,1,0,0,1,1,1,5:34:00,6
0,1,0,0,1,1,1,6:20:00,6
0,1,0,0,1,1,1,1:07:00,6
0,1,0,0,1,1,1,4:59:00,6
0,1,0,0,1,1,1,7:08:00,6
0,1,0,0,1,1,1,0:31:00,6
0,1,0,0,1,1,1,1:16:00,6
0,1,0,0,1,1,1,9:43:00,6
0,1,0,0,1,1,1,8:15:00,6
0,1,0,0,1,1,1,10:23:00,6
0,1,0,0,1,1,1,17:33:00,6
0,1,0,0,1,1,1,7:30:00,6
0,1,0,0,1,1,1,9:00:00,6
0,1,0,0,1,1,1,14:43:00,6
0,1,0,0,1,1,1,11:50:00,6
0,1,0,0,1,1,1,13:58:00,6
0,1,0,0,1,1,1,16:50:00,6
0,1,0,0,1,1,1,4:06:00,5
0,1,0,0,1,1,1,7:46:00,5
0,1,0,0,1,1,1,2:11:00,5
0,1,0,0,1,1,1,18:16:00,5
0,1,0,0,1,1,1,22:33:00,4
0,1,0,0,1,1,1,2:46:00,4
0,1,0,0,1,1,1,4:15:00,4
0,1,0,0,1,1,1,21:47:00,2
0,1,0,0,1,1,1,22:34:00,2
0,1,0,0,1,1,1,23:20:00,2
0,1,0,0,1,1,1,19:30:00,2
0,1,0,0,1,1,1,21:00:00,2
0,1,0,0,1,1,1,14:55:00,2
0,1,0,0,1,1,1,18:45:00,2
0,1,0,0,1,1,1,4:55:00,2
0,1,0,0,1,1,1,22:27:00,1
0,1,1,0,1,1,1,15:40:00,1
0,1,1,0,1,1,1,19:30:00,1
0,1,1,0,1,1,1,21:00:00,1
0,1,1,0,1,1,1,14:55:00,1
0,1,1,0,1,1,1,20:15:00,1
0,1,1,0,1,1,1,21:47:00,1
0,1,1,0,1,1,1,16:30:00,1
0,1,1,0,1,1,1,17:15:00,1
0,1,1,0,1,1,1,18:00:00,1
0,1,1,0,1,1,1,18:45:00,1
0,1,1,0,1,1,1,22:34:00,1
0,1,1,0,1,1,1,23:20:00,1
0,1,1,0,1,1,1,0:07:00,1
0,1,151,0,1,-1,1,20:19:00,4
0,1,151,0,1,1,1,20:19:00,1
0,1,152,0,1,-1,1,7:10:00,5
0,1,154,0,-1,1,1,1:45:00,5
0,1,155,0,-1,-1,-1,1:05:00,2
0,1,155,0,-1,-1,1,1:05:00,3
0,1,156,0,1,1,1,0:15:00,5
0,1,157,0,1,-1,1,23:18:00,1
0,1,157,0,1,1,1,23:18:00,4
0,1,158,0,-1,-1,1,21:04:00,1
0,1,158,0,1,-1,1,21:04:00,3
0,1,158,0,1,1,1,21:04:00,1
0,1,159,0,-1,1,1,4:10:00,3
0,1,159,0,1,1,1,4:10:00,2
0,1,160,0,1,-1,1,2:40:00,3
0,1,160,0,1,1,1,2:40:00,2
0,1,161,0,1,1,1,3:30:00,5
0,1,222,0,-1,-1,1,18:15:00,4
0,1,222,0,1,-1,1,18:15:00,7
0,1,225,0,-1,-1,1,21:22:00,7
0,1,225,0,1,-1,1,21:22:00,4
0,1,226,0,1,-1,-1,23:25:00,5
0,1,226,0,1,-1,1,23:25:00,2
0,1,241,0,-1,1,1,17:15:00,12
0,1,247,0,1,1,1,0:56:00,13
0,1,248,0,1,-1,1,19:39:00,1
0,1,248,0,1,1,-1,19:39:00,1
0,1,248,0,1,1,1,19:39:00,11
0,1,250,0,-1,1,-1,10:19:00,1
0,1,250,0,1,1,-1,10:19:00,12
0,1,251,0,1,1,-1,9:32:00,9
0,1,251,0,1,1,1,9:32:00,4
0,1,252,0,-1,1,1,16:29:00,1
0,1,252,0,1,1,1,16:29:00,12
0,1,265,0,-1,1,-1,15:25:00,1
0,1,265,0,1,1,1,15:25:00,12
0,1,267,0,1,1,1,9:20:00,7
0,1,267,0,1,1,1,13:34:00,7
0,1,267,0,1,1,1,12:09:00,7
0,1,267,0,1,1,1,10:46:00,7
0,1,267,0,1,1,1,14:17:00,7
0,1,267,0,1,1,1,12:51:00,7
0,1,268,0,-1,1,-1,11:28:00,7
0,1,269,0,-1,1,-1,10:01:00,2
0,1,269,0,1,1,-1,10:01:00,3
0,1,269,0,1,1,1,10:01:00,2
0,1,270,0,-1,1,-1,18:44:00,3
0,1,270,0,1,1,-1,18:44:00,2
0,1,270,0,1,1,1,18:44:00,2
0,1,271,0,-1,1,-1,8:36:00,6
0,1,271,0,1,1,-1,8:36:00,1
0,1,272,0,1,1,1,7:52:00,7
0,1,273,0,-1,1,1,15:46:00,1
0,1,273,0,1,1,1,15:46:00,6
0,1,274,0,-1,1,-1,6:37:00,6
0,1,274,0,-1,1,1,6:37:00,7
0,1,276,0,-1,1,1,3:00:00,13
0,1,310,0,1,1,1,23:25:00,13
0,1,311,0,1,1,1,11:22:00,13
0,1,312,0,-1,-1,-1,3:03:00,2
0,1,312,0,-1,-1,1,3:03:00,11
