antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'workpiece_slice_geometry_180x180'}),frozenset({'doc_requirement_DOC 34028-2016'}),0.8681057931593263,0.7953006539730308,0.793853810984432,0.9144666666666666,1.149837689807403,1.0,0.10344870596704303,2.3932113721001844,0.9880042390140337,0.9129450915141433,0.5821514089152765,0.956323713190705
frozenset({'doc_requirement_DOC 34028-2016'}),frozenset({'workpiece_slice_geometry_180x180'}),0.7953006539730308,0.8681057931593263,0.793853810984432,0.9981807597147432,1.1498376898074032,1.0,0.10344870596704303,72.49960761618384,0.6366021093336112,0.9129450915141433,0.9862068219004158,0.956323713190705
"frozenset({'residuals_grab2, tonn_4.0', 'workpiece_slice_geometry_180x180'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.8456507899762717,0.7953006539730308,0.774466114937207,0.9158226115521488,1.1515426360798704,1.0,0.10191948863626787,2.431761661907374,0.8526099646302241,0.8938017632914774,0.5887754891177777,0.9448127757222249
"frozenset({'residuals_grab2, tonn_4.0', 'doc_requirement_DOC 34028-2016'})",frozenset({'workpiece_slice_geometry_180x180'}),0.7756235893280862,0.8681057931593263,0.774466114937207,0.9985076854200864,1.1502142864249114,1.0,0.10114278373046515,88.38230800392559,0.5820432876796184,0.8909454061251664,0.9886855183737046,0.9453205093767099
"frozenset({'workpiece_slice_geometry_180x180', 'doc_requirement_DOC 34028-2016'})","frozenset({'residuals_grab2, tonn_4.0'})",0.793853810984432,0.9745355634006597,0.774466114937207,0.9755777502369322,1.001069418988298,1.0,0.0008273439917326764,1.0426736621885044,0.005182130982721183,0.7792011179690228,0.040927150781707895,0.8851402617803819
"frozenset({'residuals_grab2, tonn_4.0'})","frozenset({'workpiece_slice_geometry_180x180', 'doc_requirement_DOC 34028-2016'})",0.9745355634006597,0.793853810984432,0.774466114937207,0.7947027733238315,1.001069418988298,1.0,0.0008273439917326764,1.0041352840130602,0.04195170581921097,0.7792011179690228,0.004118253863696018,0.8851402617803819
frozenset({'workpiece_slice_geometry_180x180'}),"frozenset({'residuals_grab2, tonn_4.0', 'doc_requirement_DOC 34028-2016'})",0.8681057931593263,0.7756235893280862,0.774466114937207,0.8921333333333333,1.1502142864249116,1.0,0.10114278373046515,2.080127416612304,0.9901631532838437,0.8909454061251664,0.5192602183819103,0.9453205093767099
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'residuals_grab2, tonn_4.0', 'workpiece_slice_geometry_180x180'})",0.7953006539730308,0.8456507899762717,0.774466114937207,0.9738029398923009,1.1515426360798706,1.0,0.10191948863626787,5.891852344850196,0.6428925008959028,0.8938017632914774,0.8302740901383832,0.9448127757222249
"frozenset({'alloy_speed, meter/minute_2.0', 'workpiece_slice_geometry_180x180'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.8652121071821286,0.7953006539730308,0.7923490942762892,0.9157859531772575,1.1514965423482633,1.0,0.10424533960895821,2.4307031160470127,0.9760885061154245,0.9126724885007667,0.5885964051314201,0.9560373514976668
"frozenset({'alloy_speed, meter/minute_2.0', 'doc_requirement_DOC 34028-2016'})",frozenset({'workpiece_slice_geometry_180x180'}),0.7928120840326408,0.8681057931593263,0.7923490942762892,0.9994160157675743,1.1512606224298612,1.0,0.10410433124083507,225.852342438819,0.634143887698521,0.9122468017057571,0.99557232841067,0.9560746745504538
"frozenset({'workpiece_slice_geometry_180x180', 'doc_requirement_DOC 34028-2016'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.793853810984432,0.8727935644423868,0.7923490942762892,0.9981045418094336,1.1435745890806448,1.0,0.09947859694101402,67.1111798670718,0.6090287225414088,0.9062686171973258,0.9850993530141965,0.9529677937480296
"frozenset({'alloy_speed, meter/minute_2.0'})","frozenset({'workpiece_slice_geometry_180x180', 'doc_requirement_DOC 34028-2016'})",0.8727935644423868,0.793853810984432,0.7923490942762892,0.9078310456866255,1.1435745890806446,1.0,0.09947859694101402,2.2366119975135113,0.9869701135998631,0.9062686171973258,0.552895182037957,0.9529677937480296
frozenset({'workpiece_slice_geometry_180x180'}),"frozenset({'alloy_speed, meter/minute_2.0', 'doc_requirement_DOC 34028-2016'})",0.8681057931593263,0.7928120840326408,0.7923490942762892,0.9127333333333334,1.1512606224298612,1.0,0.10410433124083507,2.3741930783119862,0.996154066678677,0.9122468017057571,0.57880426443203,0.9560746745504538
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'alloy_speed, meter/minute_2.0', 'workpiece_slice_geometry_180x180'})",0.7953006539730308,0.8652121071821286,0.7923490942762892,0.996288749818076,1.1514965423482633,1.0,0.10424533960895821,36.31872986476893,0.6427226832747592,0.9126724885007667,0.9724659974695301,0.9560373514976668
"frozenset({'workpiece_slice_geometry_180x180', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.8681057931593263,0.7953006539730308,0.793853810984432,0.9144666666666666,1.149837689807403,1.0,0.10344870596704303,2.3932113721001844,0.9880042390140337,0.9129450915141433,0.5821514089152765,0.956323713190705
"frozenset({'workpiece_slice_geometry_180x180', 'doc_requirement_DOC 34028-2016'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.793853810984432,1.0,0.793853810984432,1.0,1.0,1.0,0.0,inf,0.0,0.793853810984432,0.0,0.896926905492216
"frozenset({'slag_weight_close_grab1, tonn_1.8', 'doc_requirement_DOC 34028-2016'})",frozenset({'workpiece_slice_geometry_180x180'}),0.7953006539730308,0.8681057931593263,0.793853810984432,0.9981807597147432,1.1498376898074032,1.0,0.10344870596704303,72.49960761618384,0.6366021093336112,0.9129450915141433,0.9862068219004158,0.956323713190705
frozenset({'workpiece_slice_geometry_180x180'}),"frozenset({'slag_weight_close_grab1, tonn_1.8', 'doc_requirement_DOC 34028-2016'})",0.8681057931593263,0.7953006539730308,0.793853810984432,0.9144666666666666,1.149837689807403,1.0,0.10344870596704303,2.3932113721001844,0.9880042390140337,0.9129450915141433,0.5821514089152765,0.956323713190705
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'workpiece_slice_geometry_180x180', 'doc_requirement_DOC 34028-2016'})",1.0,0.793853810984432,0.793853810984432,0.793853810984432,1.0,1.0,0.0,1.0,0.0,0.793853810984432,0.0,0.896926905492216
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'workpiece_slice_geometry_180x180', 'slag_weight_close_grab1, tonn_1.8'})",0.7953006539730308,0.8681057931593263,0.793853810984432,0.9981807597147432,1.1498376898074032,1.0,0.10344870596704303,72.49960761618384,0.6366021093336112,0.9129450915141433,0.9862068219004158,0.956323713190705
"frozenset({'workpiece_slice_geometry_180x180', 'kind_B 789/BC'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.8678164245616066,0.7953006539730308,0.7935644423867122,0.9144381460486829,1.149801828378343,1.0,0.10338947240432905,2.3924136349761516,0.9856361513404595,0.9126123128119801,0.5820120796084794,0.9561275288531873
"frozenset({'workpiece_slice_geometry_180x180', 'doc_requirement_DOC 34028-2016'})",frozenset({'kind_B 789/BC'}),0.793853810984432,0.9997106314022802,0.7935644423867122,0.9996354888095065,0.9999248356570257,1.0,-5.9652233640683505e-05,0.7938538109844875,-0.000364511190493382,0.7935644423867123,-0.2596777721075157,0.8967148151469091
