antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'workpiece_weight, tonn_Medium', 'Ti, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.15608542161004688,1.0,0.15608542161004688,1.0,1.0,1.0,0.0,inf,0.0,0.15608542161004688,0.0,0.5780427108050235
"frozenset({'workpiece_weight, tonn_Medium', 'Ti, %_Low'})",frozenset({'kind_B 789/BC'}),0.15608542161004688,0.9997106314022802,0.15608542161004688,1.0,1.000289452356142,1.0,4.516621957578737e-05,inf,0.00034288849266209646,0.15613060090309136,1.0,0.5780653004515457
"frozenset({'workpiece_weight, tonn_Medium', 'Ti, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.15608542161004688,0.9993633890850165,0.15608542161004688,1.0,1.0006370164466063,1.0,9.936568306675997e-05,inf,0.0007543546838568229,0.15618485059068798,1.0,0.578092425295344
"frozenset({'workpiece_weight, tonn_Medium', 'Ti, %_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.15608542161004688,0.9745355634006597,0.1535968516696568,0.9840563589173156,1.0097695721677236,1.0,0.0014860573822802758,1.5971531513586257,0.011464490963816,0.15720886150929989,0.37388596757340065,0.5708333341590557
"frozenset({'workpiece_weight, tonn_Medium', 'Ti, %_Low'})",frozenset({'alloy_type_open'}),0.15608542161004688,0.989698477921176,0.15307598819376123,0.9807193177604747,0.990927378023697,1.0,-0.001401515999387204,0.5342924047420842,-0.010732630632039176,0.15420043141141493,-0.8716343169480842,0.5676943176721209
"frozenset({'workpiece_weight, tonn_Medium', 'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.15301811447421726,0.9993633890850165,0.15301811447421726,1.0,1.0006370164466063,1.0,9.741300186447144e-05,inf,0.000751622822001966,0.15311558952976606,1.0,0.576557794764883
"frozenset({'workpiece_weight, tonn_Medium', 'steel_temperature_grab1, Celsius deg._Medium'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.15301811447421726,1.0,0.15301811447421726,1.0,1.0,1.0,0.0,inf,0.0,0.15301811447421726,0.0,0.5765090572371087
"frozenset({'workpiece_weight, tonn_Medium', 'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'kind_B 789/BC'}),0.15301811447421726,0.9997106314022802,0.15272874587649748,0.9981089258698941,0.9983978308501736,1.0,-0.00024508996050864873,0.15301811447421534,-0.0018910741301059126,0.15272874587649748,-5.535173978820052,0.5754409397208681
"frozenset({'workpiece_weight, tonn_Medium', 'steel_temperature_grab1, Celsius deg._Medium'})",frozenset({'alloy_type_open'}),0.15301811447421726,0.989698477921176,0.15238150355923374,0.995839636913767,1.0062050807691352,1.0,0.0009397085697326335,2.4761113069463883,0.007280929247983796,0.1538686302010285,0.5961409338931419,0.5749036205737188
"frozenset({'workpiece_weight, tonn_Low'})",frozenset({'kind_B 789/BC'}),0.3356675733549395,0.9997106314022802,0.3356675733549395,1.0,1.000289452356142,1.0,9.713165500169207e-05,inf,0.00043557801202183367,0.3357647331249276,1.0,0.6678823665624638
"frozenset({'workpiece_weight, tonn_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.3356675733549395,1.0,0.3356675733549395,1.0,1.0,1.0,0.0,inf,0.0,0.3356675733549395,0.0,0.6678337866774697
"frozenset({'workpiece_weight, tonn_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.3356675733549395,0.9993633890850165,0.335030962439956,0.9981034482758621,0.9987392565878284,1.0,-0.0004229212739797483,0.3356675733549135,-0.0018965517241380364,0.335030962439956,-1.9791379310347137,0.6666739154745074
"frozenset({'workpiece_weight, tonn_Low'})",frozenset({'alloy_type_open'}),0.3356675733549395,0.989698477921176,0.32959083280282425,0.981896551724138,0.9921168655190562,1.0,-0.002618853634054119,0.5690364576874217,-0.011819172607278777,0.3309891898175055,-0.757356644711351,0.6574590062287142
"frozenset({'workpiece_weight, tonn_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.3356675733549395,0.9745355634006597,0.3242085768852364,0.9658620689655172,0.9910998687365742,1.0,-0.002911410829551875,0.7459279407887544,-0.013337128267760817,0.32881375829077886,-0.34061206896551743,0.6492710784283611
"frozenset({'steel_weight_theoretical, tonn_Low'})","frozenset({'workpiece_weight, tonn_Low'})",0.45291972915099254,0.3356675733549395,0.3219515018230222,0.7108356759519551,2.1176775249610054,1.0,0.16992103541433204,2.297421816581637,0.9647296741693329,0.6899417090412999,0.5647294751087927,0.834986803493219
"frozenset({'workpiece_weight, tonn_Low'})","frozenset({'steel_weight_theoretical, tonn_Low'})",0.3356675733549395,0.45291972915099254,0.3219515018230222,0.9591379310344829,2.1176775249610054,1.0,0.16992103541433204,13.388462324574899,0.7944585425492379,0.6899417090412999,0.9253088236903448,0.834986803493219
"frozenset({'steel_weight, tonn_Low'})","frozenset({'workpiece_weight, tonn_Low'})",0.45291972915099254,0.3356675733549395,0.3219515018230222,0.7108356759519551,2.1176775249610054,1.0,0.16992103541433204,2.297421816581637,0.9647296741693329,0.6899417090412999,0.5647294751087927,0.834986803493219
"frozenset({'workpiece_weight, tonn_Low'})","frozenset({'steel_weight, tonn_Low'})",0.3356675733549395,0.45291972915099254,0.3219515018230222,0.9591379310344829,2.1176775249610054,1.0,0.16992103541433204,13.388462324574899,0.7944585425492379,0.6899417090412999,0.9253088236903448,0.834986803493219
"frozenset({'workpiece_weight, tonn_Low'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.3356675733549395,0.7953006539730308,0.26257306557092425,0.7822413793103449,0.9835794493598784,1.0,-0.004383575035799447,0.9400286674239282,-0.02451398228099413,0.30236587804065307,-0.0637973443303791,0.5561985531393814
"frozenset({'workpiece_weight, tonn_Low'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.3356675733549395,0.8727935644423868,0.3010590890676544,0.896896551724138,1.0276159085764458,1.0,0.00809059125147038,1.2337747930337073,0.040452285719481826,0.3317813636073729,0.18947930720717884,0.6209169450484624
"frozenset({'workpiece_weight, tonn_Low'})","frozenset({'crystallizer_movement, mm_Low'})",0.3356675733549395,0.6223161062561491,0.21112332889634816,0.6289655172413793,1.0106849411711887,1.0,0.0022319916496519043,1.017921274960193,0.015913689834831848,0.2826811313444401,0.017605757341984767,0.484109839435346
"frozenset({'workpiece_weight, tonn_Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.3356675733549395,0.8681057931593263,0.2999016146767753,0.893448275862069,1.0291928505747128,1.0,0.008506649671619182,1.2378420706729891,0.04269669827159772,0.33179664489691385,0.19214250049174642,0.6194574712643679
