KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,165.9,,165.9,165.9,165.9,165.9,165.9
0,0,71,0,1,-1,-1,6.0,163.79999999999998,3.113442275577916e-14,163.8,163.8,163.8,163.8,163.8
0,0,153,0,-1,-1,-1,2.0,165.9,0.0,165.9,165.9,165.9,165.9,165.9
0,0,153,0,1,-1,-1,3.0,165.9,0.0,165.9,165.9,165.9,165.9,165.9
0,1,-1,0,-1,-1,-1,4.0,149.625,9.450000000000003,144.9,144.9,144.9,149.625,163.8
0,1,-1,0,-1,-1,1,1.0,170.188,,170.188,170.188,170.188,170.188,170.188
0,1,-1,0,-1,1,1,2.0,161.68,5.911412690719547,157.5,159.59,161.68,163.77,165.86
0,1,-1,0,1,-1,1,13.0,166.3981538461538,3.3538267160104733,161.7,163.8,163.8,170.1,170.188
0,1,-1,0,1,1,1,8.0,165.1125,4.338346459193872,157.5,162.75,168.0,168.0,168.0
0,1,0,0,-1,1,-1,2.0,170.1,0.0,170.1,170.1,170.1,170.1,170.1
0,1,0,0,-1,1,1,44.0,167.28409090909096,3.920722713505061,157.5,163.8,170.1,170.1,172.2
0,1,0,0,1,-1,1,4.0,170.1,0.0,170.1,170.1,170.1,170.1,170.1
0,1,0,0,1,1,-1,1.0,170.1,,170.1,170.1,170.1,170.1,170.1
0,1,0,0,1,1,1,1500.0,164.9802,3.3999491755413316,151.2,163.8,165.9,168.0,174.3
0,1,1,0,1,1,1,13.0,166.70769230769233,3.379462861279767,161.7,163.8,165.9,168.0,174.3
0,1,151,0,1,-1,1,4.0,168.0,0.0,168.0,168.0,168.0,168.0,168.0
0,1,151,0,1,1,1,1.0,168.0,,168.0,168.0,168.0,168.0,168.0
0,1,152,0,1,-1,1,5.0,168.0,0.0,168.0,168.0,168.0,168.0,168.0
0,1,154,0,-1,1,1,5.0,165.86,0.0,165.86,165.86,165.86,165.86,165.86
0,1,155,0,-1,-1,-1,2.0,163.8,0.0,163.8,163.8,163.8,163.8,163.8
0,1,155,0,-1,-1,1,3.0,163.8,0.0,163.8,163.8,163.8,163.8,163.8
0,1,156,0,1,1,1,5.0,163.8,0.0,163.8,163.8,163.8,163.8,163.8
0,1,157,0,1,-1,1,1.0,168.0,,168.0,168.0,168.0,168.0,168.0
0,1,157,0,1,1,1,4.0,168.0,0.0,168.0,168.0,168.0,168.0,168.0
0,1,158,0,-1,-1,1,1.0,157.5,,157.5,157.5,157.5,157.5,157.5
0,1,158,0,1,-1,1,3.0,157.5,0.0,157.5,157.5,157.5,157.5,157.5
0,1,158,0,1,1,1,1.0,157.5,,157.5,157.5,157.5,157.5,157.5
0,1,159,0,-1,1,1,3.0,157.5,0.0,157.5,157.5,157.5,157.5,157.5
0,1,159,0,1,1,1,2.0,157.5,0.0,157.5,157.5,157.5,157.5,157.5
0,1,160,0,1,-1,1,3.0,161.7,0.0,161.7,161.7,161.7,161.7,161.7
0,1,160,0,1,1,1,2.0,161.7,0.0,161.7,161.7,161.7,161.7,161.7
0,1,161,0,1,1,1,5.0,159.6,0.0,159.6,159.6,159.6,159.6,159.6
0,1,222,0,-1,-1,1,4.0,163.8,0.0,163.8,163.8,163.8,163.8,163.8
0,1,222,0,1,-1,1,7.0,163.79999999999998,3.0698954837323625e-14,163.8,163.8,163.8,163.8,163.8
0,1,225,0,-1,-1,1,7.0,163.79999999999998,3.0698954837323625e-14,163.8,163.8,163.8,163.8,163.8
0,1,225,0,1,-1,1,4.0,163.8,0.0,163.8,163.8,163.8,163.8,163.8
0,1,226,0,1,-1,-1,5.0,169.821,0.0,169.821,169.821,169.821,169.821,169.821
0,1,226,0,1,-1,1,2.0,169.821,0.0,169.821,169.821,169.821,169.821,169.821
0,1,241,0,-1,1,1,12.0,161.70000000000002,2.968550733539209e-14,161.7,161.7,161.7,161.7,161.7
0,1,247,0,1,1,1,13.0,172.2,0.0,172.2,172.2,172.2,172.2,172.2
0,1,248,0,1,-1,1,1.0,163.748,,163.748,163.748,163.748,163.748,163.748
0,1,248,0,1,1,-1,1.0,163.748,,163.748,163.748,163.748,163.748,163.748
0,1,248,0,1,1,1,11.0,163.74800000000002,2.9808940330728763e-14,163.748,163.748,163.748,163.748,163.748
0,1,250,0,-1,1,-1,1.0,159.6,,159.6,159.6,159.6,159.6,159.6
0,1,250,0,1,1,-1,12.0,159.59999999999997,2.968550733539209e-14,159.6,159.6,159.6,159.6,159.6
0,1,251,0,1,1,-1,9.0,168.0,0.0,168.0,168.0,168.0,168.0,168.0
0,1,251,0,1,1,1,4.0,168.0,0.0,168.0,168.0,168.0,168.0,168.0
0,1,252,0,-1,1,1,1.0,163.8,,163.8,163.8,163.8,163.8,163.8
0,1,252,0,1,1,1,12.0,163.79999999999998,2.968550733539209e-14,163.8,163.8,163.8,163.8,163.8
0,1,265,0,-1,1,-1,1.0,168.0,,168.0,168.0,168.0,168.0,168.0
0,1,265,0,1,1,1,12.0,168.0,0.0,168.0,168.0,168.0,168.0,168.0
0,1,267,0,1,1,1,42.0,163.45,2.8559949784747842,157.5,163.8,163.8,165.9,165.9
0,1,268,0,-1,1,-1,7.0,161.70000000000002,3.0698954837323625e-14,161.7,161.7,161.7,161.7,161.7
0,1,269,0,-1,1,-1,2.0,163.8,0.0,163.8,163.8,163.8,163.8,163.8
0,1,269,0,1,1,-1,3.0,163.8,0.0,163.8,163.8,163.8,163.8,163.8
0,1,269,0,1,1,1,2.0,163.8,0.0,163.8,163.8,163.8,163.8,163.8
0,1,270,0,-1,1,-1,3.0,157.5,0.0,157.5,157.5,157.5,157.5,157.5
0,1,270,0,1,1,-1,2.0,157.5,0.0,157.5,157.5,157.5,157.5,157.5
0,1,270,0,1,1,1,2.0,157.5,0.0,157.5,157.5,157.5,157.5,157.5
0,1,271,0,-1,1,-1,6.0,165.9,0.0,165.9,165.9,165.9,165.9,165.9
0,1,271,0,1,1,-1,1.0,165.9,,165.9,165.9,165.9,165.9,165.9
0,1,272,0,1,1,1,7.0,157.5,0.0,157.5,157.5,157.5,157.5,157.5
0,1,273,0,-1,1,1,1.0,165.9,,165.9,165.9,165.9,165.9,165.9
0,1,273,0,1,1,1,6.0,165.9,0.0,165.9,165.9,165.9,165.9,165.9
0,1,274,0,-1,1,-1,6.0,172.056,0.0,172.056,172.056,172.056,172.056,172.056
0,1,274,0,-1,1,1,7.0,172.056,0.0,172.056,172.056,172.056,172.056,172.056
0,1,276,0,-1,1,1,13.0,161.7,0.0,161.7,161.7,161.7,161.7,161.7
0,1,310,0,1,1,1,13.0,157.5,0.0,157.5,157.5,157.5,157.5,157.5
0,1,311,0,1,1,1,13.0,176.40000000000003,2.958225308398898e-14,176.4,176.4,176.4,176.4,176.4
0,1,312,0,-1,-1,-1,2.0,141.201,0.0,141.201,141.201,141.201,141.201,141.201
0,1,312,0,-1,-1,1,11.0,141.201,0.0,141.201,141.201,141.201,141.201,141.201
0,1,313,0,-1,1,-1,12.0,142.79999999999998,2.968550733539209e-14,142.8,142.8,142.8,142.8,142.8
0,1,313,0,-1,1,1,1.0,142.8,,142.8,142.8,142.8,142.8,142.8
0,1,314,0,1,1,-1,9.0,180.6,0.0,180.6,180.6,180.6,180.6,180.6
0,1,314,0,1,1,1,4.0,180.6,0.0,180.6,180.6,180.6,180.6,180.6
0,1,315,0,1,1,1,10.0,157.5,0.0,157.5,157.5,157.5,157.5,157.5
0,1,316,0,1,1,1,10.0,153.3,0.0,153.3,153.3,153.3,153.3,153.3
0,1,348,0,1,1,1,72.0,162.05,3.893005645737814,155.4,159.075,163.8,163.8,168.0
0,1,349,0,1,-1,1,9.0,155.4,0.0,155.4,155.4,155.4,155.4,155.4
0,1,353,0,1,-1,1,5.0,163.704,0.0,163.704,163.704,163.704,163.704,163.704
0,1,353,0,1,1,1,4.0,163.704,0.0,163.704,163.704,163.704,163.704,163.704
0,1,355,0,1,-1,1,5.0,170.1,0.0,170.1,170.1,170.1,170.1,170.1
0,1,355,0,1,1,1,4.0,170.1,0.0,170.1,170.1,170.1,170.1,170.1
0,1,526,0,1,-1,-1,7.0,156.56999999999996,3.0698954837323625e-14,156.57,156.57,156.57,156.57,156.57
0,1,556,0,-1,1,1,7.0,162.90000000000003,2.049390153191928,161.7,161.7,161.7,163.8,165.9
0,1,556,0,1,1,1,5.0,165.06,1.878297101099831,161.7,165.9,165.9,165.9,165.9
0,1,557,0,-1,1,-1,6.0,153.29999999999998,3.113442275577916e-14,153.3,153.3,153.3,153.3,153.3
0,1,558,0,-1,1,-1,5.0,172.2,0.0,172.2,172.2,172.2,172.2,172.2
0,1,558,0,1,1,-1,1.0,172.2,,172.2,172.2,172.2,172.2,172.2
0,1,559,0,-1,1,1,1.0,165.9,,165.9,165.9,165.9,165.9,165.9
0,1,559,0,1,1,1,5.0,165.9,0.0,165.9,165.9,165.9,165.9,165.9
0,1,560,0,1,-1,1,6.0,155.4,0.0,155.4,155.4,155.4,155.4,155.4
0,1,561,0,-1,1,1,1.0,155.4,,155.4,155.4,155.4,155.4,155.4
0,1,561,0,1,1,1,5.0,155.4,0.0,155.4,155.4,155.4,155.4,155.4
0,1,562,0,-1,1,1,6.0,165.9,0.0,165.9,165.9,165.9,165.9,165.9
0,1,563,0,1,-1,1,6.0,163.79999999999998,3.113442275577916e-14,163.8,163.8,163.8,163.8,163.8
0,1,564,0,1,-1,1,2.0,168.0,0.0,168.0,168.0,168.0,168.0,168.0
0,1,564,0,1,1,1,4.0,168.0,0.0,168.0,168.0,168.0,168.0,168.0
0,1,565,0,1,1,1,6.0,161.70000000000002,3.113442275577916e-14,161.7,161.7,161.7,161.7,161.7
1,0,-1,1,1,-1,-1,16.0,164.02949999999998,4.275360195351967,156.672,162.774,162.816,168.96,169.344
1,0,-1,1,1,-1,1,21.0,161.20685714285713,6.632891754624939,153.6,153.6,162.816,165.888,168.96
1,0,-1,1,1,1,-1,6.0,157.184,4.921595838749871,147.456,157.44,159.744,159.744,159.744
1,0,-1,1,1,1,1,206.0,162.62897087378636,6.433132977899859,147.456,156.672,162.816,168.192,175.104
1,0,-1,2,-1,-1,-1,11.0,149.95872727272723,21.05238924251074,107.428,157.449,159.744,160.00799999999998,160.272
1,0,-1,2,1,-1,-1,11.0,157.003,13.925545569204823,118.323,154.861,161.28,165.888,169.042
1,0,-1,2,1,-1,1,18.0,162.57294444444443,6.907016896497121,153.6,153.997,165.888,166.32,174.591
1,0,-1,2,1,1,-1,11.0,160.02672727272727,2.3016355528584023,156.122,159.718,159.718,162.25900000000001,162.471
1,0,-1,2,1,1,1,42.0,163.79980952380953,3.652915743108313,157.696,160.272,163.328,166.07125,169.344
1,0,2,1,1,1,1,9.0,151.8,0.0,151.8,151.8,151.8,151.8,151.8
1,0,3,1,1,1,-1,1.0,148.713,,148.713,148.713,148.713,148.713,148.713
1,0,3,1,1,1,1,8.0,148.713,0.0,148.713,148.713,148.713,148.713,148.713
1,0,4,1,1,1,1,9.0,166.98,0.0,166.98,166.98,166.98,166.98,166.98
1,0,5,1,1,1,1,18.0,162.10199999999998,1.228615863960936,160.908,160.908,162.10199999999998,163.296,163.296
1,0,6,1,1,1,1,6.0,162.816,0.0,162.816,162.816,162.816,162.816,162.816
1,0,7,1,1,1,1,12.0,172.032,3.208599354575425,168.96,168.96,172.032,175.104,175.104
1,0,8,1,1,1,1,31.0,167.67174193548385,1.5409468727104558,165.888,165.888,168.96,168.96,168.96
