antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
Al_=Low chemistry value,Mg_=Low chemistry value,0.25447074483477056,0.6817054263565893,1.6731801224453844,0.10238266930656217,1.861700020919673
Mg_=Low chemistry value,Al_=Low chemistry value,0.25447074483477056,0.6245738636363637,1.6731801224453842,0.10238266930656217,1.6693417112932605
Al_=Low chemistry value,Zn_=Low chemistry value,0.24816250940447943,0.6648062015503876,1.2998966115864148,0.05725308846090307,1.4575745215152378
Al_=Low chemistry value,Ca_=Low chemistry value,0.20469934602696915,0.5483720930232558,1.27032060535579,0.04355943759445405,1.2583808864382326
Al_=Low chemistry value,Nb_=Low chemistry value,0.22472365298917762,0.602015503875969,1.1686581161075014,0.03243161317716303,1.2183037959050254
"Al_=Low chemistry value, Mg_=Low chemistry value",Zn_=Low chemistry value,0.23693500781295213,0.9310893791221285,1.8205605275377683,0.10679101961312185,7.0899076828222
"Al_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.23693500781295213,0.9547574626865671,2.3433599712728967,0.13582591201993544,13.097607906146719
"Mg_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.23693500781295213,0.6370992841581076,1.7067346559640217,0.09811143205382328,1.7269585911054934
Al_=Low chemistry value,"Mg_=Low chemistry value, Zn_=Low chemistry value",0.23693500781295213,0.6347286821705426,1.706734655964022,0.09811143205382328,1.7195532404320932
Mg_=Low chemistry value,"Al_=Low chemistry value, Zn_=Low chemistry value",0.23693500781295213,0.5815340909090908,2.3433599712728963,0.13582591201993544,1.7966517086871905
"Al_=Low chemistry value, Mg_=Low chemistry value",Ca_=Low chemistry value,0.15440708374327217,0.606777348191949,1.405618152488093,0.044557133762222714,1.445287862508644
"Al_=Low chemistry value, Ca_=Low chemistry value",Mg_=Low chemistry value,0.15440708374327217,0.7543115634718688,1.8513848729020483,0.07100622744198952,2.4118718112429653
"Mg_=Low chemistry value, Ca_=Low chemistry value",Al_=Low chemistry value,0.15440708374327217,0.691012691012691,1.8511640756601997,0.07099627982077038,2.0282855985105543
"Al_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.14092250708953064,0.5678638059701492,1.3154737502826395,0.033795696646333,1.3151407675941649
"Al_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.14092250708953064,0.6884365281311846,1.3461010263187436,0.03623310834884387,1.5681233023227528
"Ca_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.14092250708953064,0.6790295593976575,1.8190622878809495,0.06345264361734948,1.952561450099202
"Nb_=Low chemistry value, Al_=Low chemistry value",Ca_=Low chemistry value,0.12037733665142658,0.5356682977079578,1.2408918777444433,0.02336861348189849,1.2239524527752212
"Al_=Low chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.12037733665142658,0.5880689850155498,1.1415845401734284,0.014929748308000909,1.177056363084384
"Al_=Low chemistry value, Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.14011227501591528,0.5913531998045921,1.3698876443790786,0.037832153291463055,1.3907362682146982
"Al_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.14011227501591528,0.9074212893553224,1.7742822743884368,0.061143850972897956,5.277346562593945
"Al_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.14011227501591528,0.9942505133470226,2.4402918494493187,0.08269607906069243,103.06468214926545
"Mg_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.14011227501591528,0.6944922547332186,1.8604855301605092,0.06480275352566892,2.0513866461690453
"Al_=Low chemistry value, Mg_=Low chemistry value","Ca_=Low chemistry value, Zn_=Low chemistry value",0.14011227501591528,0.5506026836479417,2.6530573816934706,0.08730064870782528,1.7633946908008666
"Al_=Low chemistry value, Zn_=Low chemistry value","Mg_=Low chemistry value, Ca_=Low chemistry value",0.14011227501591528,0.5645988805970149,2.5267298777093554,0.08466025529193269,1.7835268083499223
"Al_=Low chemistry value, Ca_=Low chemistry value","Mg_=Low chemistry value, Zn_=Low chemistry value",0.14011227501591528,0.6844783715012723,1.8405075912185627,0.06398530021590927,1.9906827978769683
"Mg_=Low chemistry value, Ca_=Low chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.14011227501591528,0.6270396270396271,2.526729877709356,0.08466025529193269,2.0158642716592396
"Ca_=Low chemistry value, Zn_=Low chemistry value","Al_=Low chemistry value, Mg_=Low chemistry value",0.14011227501591528,0.6751254880089236,2.6530573816934706,0.08730064870782528,2.294822239504303
"Nb_=Low chemistry value, Al_=Low chemistry value, Mg_=Low chemistry value",Ca_=Low chemistry value,0.07992360669020197,0.5955153083225528,1.3795292951475253,0.021988188449116312,1.4050468104608536
"Nb_=Low chemistry value, Al_=Low chemistry value, Ca_=Low chemistry value",Mg_=Low chemistry value,0.07992360669020197,0.6639423076923077,1.6295822634396853,0.03087814977567896,1.763295493524974
"Nb_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value",Al_=Low chemistry value,0.07992360669020197,0.8410475030450669,2.2530945434287926,0.04445079134683291,3.9427786347966496
"Al_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.07992360669020197,0.517616191904048,1.0048185799247327,0.0003832714625345429,1.005145724631806
"Nb_=Low chemistry value, Al_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.06967995833092193,0.5406376290974405,1.252403484806901,0.014042969791509353,1.2371930352174878
"Nb_=Low chemistry value, Al_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.06967995833092193,0.5788461538461539,1.1318187951010177,0.008115369871598083,1.1600747443051864
"Nb_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.06967995833092193,0.8431372549019609,2.2586928104575166,0.0388302748288933,3.995304994501999
"Nb_=Low chemistry value, Al_=Low chemistry value, Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.06886972625730656,0.5743243243243243,1.3304397372301917,0.01710509210658232,1.3351007783555964
"Nb_=Low chemistry value, Al_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.06886972625730656,0.8616944243301956,1.6848724632795575,0.02799439132349587,3.5325397260664166
"Nb_=Low chemistry value, Al_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.06886972625730656,0.9883720930232558,2.425863834566596,0.04047995215870766,50.960935239307744
"Nb_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.06886972625730656,0.8518253400143164,2.2819674496290503,0.038689748769677706,4.2295660337742085
"Nb_=Low chemistry value, Al_=Low chemistry value, Mg_=Low chemistry value","Ca_=Low chemistry value, Zn_=Low chemistry value",0.06886972625730656,0.513152220784821,2.4726037989238487,0.041016607901959566,1.627746650077909
"Nb_=Low chemistry value, Al_=Low chemistry value, Zn_=Low chemistry value","Mg_=Low chemistry value, Ca_=Low chemistry value",0.06886972625730656,0.5343511450381679,2.3913632310578876,0.0400703680657699,1.667672024887597
"Nb_=Low chemistry value, Al_=Low chemistry value, Ca_=Low chemistry value","Mg_=Low chemistry value, Zn_=Low chemistry value",0.06886972625730656,0.5721153846153847,1.5383725071225072,0.02410181345436268,1.4679272299752055
"Nb_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.06886972625730656,0.7247259439707673,2.920368373570636,0.04528717863058307,2.731232653889036
"Nb_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value","Al_=Low chemistry value, Mg_=Low chemistry value",0.06886972625730656,0.8333333333333334,3.2747706769767264,0.0478393296125903,4.473175530991378
"Nb_=Low chemistry value, Al_=Low chemistry value",Mg_=Low chemistry value,0.13420915562243185,0.5972186453772855,1.4658154791866642,0.042649776199791045,1.4711927640384843
"Nb_=Low chemistry value, Mg_=Low chemistry value",Al_=Low chemistry value,0.13420915562243185,0.8068893528183716,2.16158777168196,0.07212092706162633,3.2453648625186324
"Al_=Low chemistry value, Mg_=Low chemistry value",Nb_=Low chemistry value,0.13420915562243185,0.5274050488969751,1.0238211257039473,0.003122628637404229,1.0259653032847484
"Nb_=Low chemistry value, Al_=Low chemistry value",Zn_=Low chemistry value,0.12888477342438798,0.5735256245171259,1.1214155557351384,0.013954342180371379,1.1456021005643944
"Nb_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.12888477342438798,0.699215070643642,1.8731375512637969,0.06007788129976528,2.08359677555182
"Al_=Low chemistry value, Zn_=Low chemistry value",Nb_=Low chemistry value,0.12888477342438798,0.519356343283582,1.0081966358383345,0.001047832848586644,1.0087848150367436
"Nb_=Low chemistry value, Al_=Low chemistry value, Mg_=Low chemistry value",Zn_=Low chemistry value,0.11991434689507495,0.8934885726606296,1.7470396115200881,0.0512757504348961,4.58701899499826
"Nb_=Low chemistry value, Al_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.11991434689507495,0.9303996407723396,2.2835760501285876,0.0674026966313044,8.513878678014912
"Nb_=Low chemistry value, Mg_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.11991434689507495,0.8301282051282052,2.223842675412443,0.06599221102598288,3.68933824131594
"Al_=Low chemistry value, Mg_=Low chemistry value, Zn_=Low chemistry value",Nb_=Low chemistry value,0.11991434689507495,0.5061064973131413,0.982475470966607,-0.002138926126690588,0.9817218078421927
"Nb_=Low chemistry value, Al_=Low chemistry value","Mg_=Low chemistry value, Zn_=Low chemistry value",0.11991434689507495,0.5336080350244656,1.4348293241810988,0.03634040198457923,1.3467287718893124
"Nb_=Low chemistry value, Mg_=Low chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.11991434689507495,0.7209464161447461,2.905138321960137,0.07863770750457355,2.694240583505644
"Nb_=Low chemistry value, Zn_=Low chemistry value","Al_=Low chemistry value, Mg_=Low chemistry value",0.11991434689507495,0.6505494505494506,2.5564803174991937,0.0730083151629872,2.133432774214965
"Al_=Low chemistry value, workpiece_weight_tonn=Medium",Nb_=Low chemistry value,0.0791133746165866,0.5884631941455015,1.142349795712855,0.009858427564910649,1.1781838597218528
"Al_=Low chemistry value, workpiece_weight_tonn=Medium",Ca_=Low chemistry value,0.07407836101626251,0.5510116229014206,1.276435156470525,0.016043011049017154,1.2657787036586454
"Al_=Low chemistry value, workpiece_weight_tonn=Medium",Zn_=Low chemistry value,0.08189131315469646,0.6091261300043048,1.1910252801113932,0.013134323255172761,1.2499426999186454
"Al_=Low chemistry value, workpiece_weight_tonn=Medium",Mg_=Low chemistry value,0.08235430291104809,0.6125699526474386,1.50349378008453,0.027579016174299552,1.5294864671952466
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value",Al_=Low chemistry value,0.08235430291104809,0.6302037201062888,1.6882620278630331,0.0335737809589608,1.6947561211854894
"Nb_=Low chemistry value, workpiece_weight_tonn=Medium, Zn_=Low chemistry value",Al_=Low chemistry value,0.039643497887609236,0.6523809523809524,1.7476729420450352,0.016959907077294063,1.8028773544892167
"Nb_=Low chemistry value, workpiece_weight_tonn=Medium, Al_=Low chemistry value",Zn_=Low chemistry value,0.039643497887609236,0.5010972933430871,0.9797963258657011,-0.0008174600084944611,0.9792890154152847
"Nb_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Low chemistry value",Al_=Low chemistry value,0.03906476069216969,0.7830626450116009,2.0977580532023956,0.020442612807891898,2.888919287206225
"Nb_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Al_=Low chemistry value",Zn_=Low chemistry value,0.0358238323977082,0.917037037037037,1.7930839609554103,0.015844939508264162,5.889012674344576
"Nb_=Low chemistry value, workpiece_weight_tonn=Medium, Zn_=Low chemistry value, Al_=Low chemistry value",Mg_=Low chemistry value,0.0358238323977082,0.9036496350364963,2.217920744857332,0.019671842981146534,6.150148104109558
"Nb_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.0358238323977082,0.7987096774193548,2.139675118779695,0.019081182037713668,3.1134855412157334
"Nb_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Low chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.0358238323977082,0.7180974477958236,2.893658069138068,0.023443712998051897,2.6670120036762905
"Nb_=Low chemistry value, workpiece_weight_tonn=Medium, Zn_=Low chemistry value","Al_=Low chemistry value, Mg_=Low chemistry value",0.0358238323977082,0.5895238095238095,2.316666341769821,0.020360305453063887,1.8162545659477745
"Nb_=Low chemistry value, workpiece_weight_tonn=Medium, Al_=Low chemistry value",Ca_=Low chemistry value,0.042942299901614675,0.542794440380395,1.2573998036375984,0.008790632486537449,1.2430293419758087
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Ca_=Low chemistry value",Nb_=Low chemistry value,0.042942299901614675,0.5796875,1.1253140447702508,0.004782019132718758,1.153584588465144
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Ca_=Low chemistry value",Zn_=Low chemistry value,0.0460096070374443,0.62109375,1.2144255863132285,0.008123706447091164,1.2894216983490476
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Zn_=Low chemistry value",Ca_=Low chemistry value,0.0460096070374443,0.5618374558303887,1.3015135271877312,0.010658758908450673,1.2970527341598694
"workpiece_weight_tonn=Medium, Zn_=Low chemistry value, Ca_=Low chemistry value",Al_=Low chemistry value,0.0460096070374443,0.7072953736654805,1.894783994041215,0.021727363160497393,2.141115829939922
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Low chemistry value",Ca_=Low chemistry value,0.05087099947913652,0.617709065354884,1.4309418072485642,0.015320287897823505,1.4866162768134046
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Ca_=Low chemistry value",Mg_=Low chemistry value,0.05087099947913652,0.6867187499999999,1.6854848410866474,0.020689179839430052,1.8914921158242188
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Ca_=Low chemistry value",Al_=Low chemistry value,0.05087099947913652,0.7258464079273328,1.9444806329575788,0.02470925807790636,2.285997802193205
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.04543086984200474,0.5906696764484575,1.368304241768722,0.012228553825444653,1.3884139366725332
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.04543086984200474,0.8930602957906711,1.746202201082608,0.019413911545973175,4.568648697902875
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Ca_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.04543086984200474,0.9874213836477986,2.4235304102344193,0.0266851303001558,47.109236645638816
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.04543086984200474,0.7302325581395348,1.9562307553632592,0.02220719353620588,2.3231658521106935
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Low chemistry value","Ca_=Low chemistry value, Zn_=Low chemistry value",0.04543086984200474,0.5516514406184118,2.658110775919001,0.028339456551940593,1.7675195450799082
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Zn_=Low chemistry value","Mg_=Low chemistry value, Ca_=Low chemistry value",0.04543086984200474,0.5547703180212014,2.4827444509423304,0.027132220609393885,1.7441549839836776
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Ca_=Low chemistry value","Mg_=Low chemistry value, Zn_=Low chemistry value",0.04543086984200474,0.61328125,1.6490642263849984,0.017881385040193126,1.6241867719383778
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Ca_=Low chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.04543086984200474,0.64822460776218,2.6120972475566018,0.028038381915109403,2.1372657303079237
"workpiece_weight_tonn=Medium, Ca_=Low chemistry value, Zn_=Low chemistry value","Al_=Low chemistry value, Mg_=Low chemistry value",0.04543086984200474,0.6983985765124555,2.744514215046331,0.028877532426975973,2.47190230916141
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Low chemistry value",Zn_=Low chemistry value,0.07691417327391631,0.9339423752635277,1.826138995380615,0.034795707226984655,7.396117289096466
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Zn_=Low chemistry value",Mg_=Low chemistry value,0.07691417327391631,0.9392226148409892,2.305231187761002,0.043549114844084545,9.749827388266683
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.07691417327391631,0.6486090775988287,1.737568411136459,0.0326487660640727,1.7835250400293226
"Al_=Low chemistry value, workpiece_weight_tonn=Medium","Mg_=Low chemistry value, Zn_=Low chemistry value",0.07691417327391631,0.5721050365906156,1.5383446821116165,0.026916162965628508,1.4678917302646832
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.07691417327391631,0.5885739592559787,2.3717279482238935,0.04448457976530386,1.8273940298866362
"Al_=Low chemistry value, Mg_=Medium chemistry value",Nb_=Low chemistry value,0.08484287285143816,0.7611630321910695,1.4776020709166937,0.027423575381990077,2.0301129544030574
"Al_=Low chemistry value, workpiece_weight_tonn=Medium, Mg_=Medium chemistry value",Nb_=Low chemistry value,0.03727067538630708,0.7759036144578313,1.5062171165281282,0.01252611832522613,2.1636494545246356
"Al_=Low chemistry value, Mg_=Medium chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.04045372996122461,0.8109048723897911,1.5741630479747446,0.014755165880921264,2.56413810586772
"Al_=Low chemistry value, cast_in_row=Low",Mg_=Low chemistry value,0.0864633369986689,0.7182692307692308,1.7629224486451047,0.037417880084145885,2.103316638180814
"Mg_=Low chemistry value, cast_in_row=Low",Al_=Low chemistry value,0.0864633369986689,0.5460526315789473,1.462828437372501,0.027356380372933364,1.3805884834653104
"Al_=Low chemistry value, cast_in_row=Low",Zn_=Low chemistry value,0.08264367150876786,0.6865384615384615,1.3423897337244626,0.021079083049444017,1.5586280306922442
"Al_=Low chemistry value, cast_in_row=Low",Nb_=Low chemistry value,0.07575669888303721,0.6293269230769231,1.2216762053528991,0.013746242633581346,1.3080691653251
"Al_=Low chemistry value, Mg_=Low chemistry value, cast_in_row=Low",Zn_=Low chemistry value,0.08009722784883384,0.926372155287818,1.8113369323546686,0.03587727825353104,6.63566809947967
"Al_=Low chemistry value, cast_in_row=Low, Zn_=Low chemistry value",Mg_=Low chemistry value,0.08009722784883384,0.969187675070028,2.378777533740769,0.04642563531328631,19.231558013142596
"cast_in_row=Low, Mg_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.08009722784883384,0.5457413249211356,1.4619944733817523,0.02531095518696786,1.3796423564892513
"Al_=Low chemistry value, cast_in_row=Low","Mg_=Low chemistry value, Zn_=Low chemistry value",0.08009722784883384,0.6653846153846155,1.7891660082836556,0.035329315045889965,1.8770908544223175
"Mg_=Low chemistry value, cast_in_row=Low","Al_=Low chemistry value, Zn_=Low chemistry value",0.08009722784883384,0.5058479532163742,2.0383737834948064,0.040802556529275086,1.5214699513826508
"Al_=Low chemistry value, cast_in_row=Low, Ca_=Low chemistry value",Mg_=Low chemistry value,0.042363562706175126,0.7334669338677354,1.8002237429404262,0.018831175205841485,2.2232476555704324
"cast_in_row=Low, Mg_=Low chemistry value, Ca_=Low chemistry value",Al_=Low chemistry value,0.042363562706175126,0.5917542441390461,1.5852591603842756,0.015640132389641917,1.5351402921992527
"Al_=Low chemistry value, cast_in_row=Low, Ca_=Low chemistry value",Zn_=Low chemistry value,0.03900688697262573,0.6753507014028055,1.3205142887336285,0.009467723856084763,1.5049160509545942
"cast_in_row=Low, Zn_=Low chemistry value, Ca_=Low chemistry value",Al_=Low chemistry value,0.03900688697262573,0.5630743525480367,1.5084281763841128,0.013147593448866433,1.4343733598527018
"Nb_=Low chemistry value, Al_=Low chemistry value, cast_in_row=Low",Ca_=Low chemistry value,0.04172695179119162,0.5508021390374331,1.2759498807384109,0.009024294405430025,1.2651884065160295
"Nb_=Low chemistry value, cast_in_row=Low, Ca_=Low chemistry value",Al_=Low chemistry value,0.04172695179119162,0.5380597014925372,1.44141605923869,0.012778369233265589,1.3567002293725299
"Al_=Low chemistry value, cast_in_row=Low, Ca_=Low chemistry value",Nb_=Low chemistry value,0.04172695179119162,0.722444889779559,1.402440765138861,0.01197385787919308,1.7469180155038884
"Al_=Low chemistry value, Mg_=Low chemistry value, cast_in_row=Low, Ca_=Low chemistry value",Zn_=Low chemistry value,0.03854389721627409,0.9098360655737705,1.779003890126647,0.016877897816165888,5.418684793417128
