antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
Ca_=Low chemistry value,Nb_=Low chemistry value,0.248683372880375,0.5760825847968897,1.1183160299635386,0.026310299243504198,1.1437747187313438
"Nb_=Low chemistry value, Ca_=Low chemistry value",Mg_=Medium chemistry value,0.14300596099311302,0.5750523621131022,1.116316117846567,0.014900705943155401,1.141001806129125
"Mg_=Medium chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.14300596099311302,0.7474289171203872,1.4509408222585296,0.04444511081969904,1.919721041740814
Mg_=Low chemistry value,Ca_=Low chemistry value,0.2234504311592106,0.5484374999999999,1.270472122603566,0.047570593118139826,1.258563157750342
Ca_=Low chemistry value,Mg_=Low chemistry value,0.2234504311592106,0.5176297090762837,1.2704721226035662,0.047570593118139826,1.2284525509973148
"Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.20174778633022744,0.5424836601307189,1.2566798717520702,0.04120746825467053,1.2421849809430108
"Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.20174778633022744,0.9028749028749029,1.7653927177521158,0.08746851900260755,5.0303161062561506
"Ca_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.20174778633022744,0.9721137757947573,2.385959365334888,0.11719153224586228,21.2495248567625
"Nb_=Low chemistry value, Mg_=Low chemistry value",Ca_=Low chemistry value,0.09502864749117426,0.5713291579679889,1.3235013434145166,0.02322770224543033,1.3257722947230441
"Nb_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.08084958620290526,0.8507917174177831,1.6635543833045008,0.032249079351842874,3.2744156821244603
"Nb_=Low chemistry value, Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.08084958620290526,0.5596955128205129,1.2965516511631106,0.01849218907925291,1.2907429800731673
"Nb_=Low chemistry value, Zn_=Low chemistry value, Ca_=Low chemistry value",Mg_=Low chemistry value,0.08084958620290526,0.9782913165266107,2.4011215423669467,0.04717799366735773,27.296404921879912
Al_=Low chemistry value,Ca_=Low chemistry value,0.20469934602696915,0.5483720930232558,1.27032060535579,0.04355943759445405,1.2583808864382326
"Al_=Low chemistry value, Mg_=Low chemistry value",Ca_=Low chemistry value,0.15440708374327217,0.606777348191949,1.405618152488093,0.044557133762222714,1.445287862508644
"Al_=Low chemistry value, Ca_=Low chemistry value",Mg_=Low chemistry value,0.15440708374327217,0.7543115634718688,1.8513848729020483,0.07100622744198952,2.4118718112429653
"Mg_=Low chemistry value, Ca_=Low chemistry value",Al_=Low chemistry value,0.15440708374327217,0.691012691012691,1.8511640756601997,0.07099627982077038,2.0282855985105543
"Al_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.14092250708953064,0.5678638059701492,1.3154737502826395,0.033795696646333,1.3151407675941649
"Al_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.14092250708953064,0.6884365281311846,1.3461010263187436,0.03623310834884387,1.5681233023227528
"Ca_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.14092250708953064,0.6790295593976575,1.8190622878809495,0.06345264361734948,1.952561450099202
