antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
"Nb_=Low chemistry value, Ca_=Low chemistry value",Mg_=Medium chemistry value,0.14300596099311302,0.5750523621131022,1.116316117846567,0.014900705943155401,1.141001806129125
"Mg_=Medium chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.14300596099311302,0.7474289171203872,1.4509408222585296,0.04444511081969904,1.919721041740814
Mg_=Low chemistry value,Zn_=Low chemistry value,0.3718965217894554,0.912784090909091,1.7847681687018424,0.16352406854251317,5.601844267664636
Zn_=Low chemistry value,Mg_=Low chemistry value,0.3718965217894554,0.7271698540228584,1.7847681687018422,0.16352406854251317,2.171933795249309
Mg_=Low chemistry value,Ca_=Low chemistry value,0.2234504311592106,0.5484374999999999,1.270472122603566,0.047570593118139826,1.258563157750342
Ca_=Low chemistry value,Mg_=Low chemistry value,0.2234504311592106,0.5176297090762837,1.2704721226035662,0.047570593118139826,1.2284525509973148
"Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.20174778633022744,0.5424836601307189,1.2566798717520702,0.04120746825467053,1.2421849809430108
"Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.20174778633022744,0.9028749028749029,1.7653927177521158,0.08746851900260755,5.0303161062561506
"Ca_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.20174778633022744,0.9721137757947573,2.385959365334888,0.11719153224586228,21.2495248567625
"Nb_=Low chemistry value, Mg_=Low chemistry value",Zn_=Low chemistry value,0.1444528039817119,0.8684759916492694,1.6981324725254865,0.05938711781243462,3.714682562648303
"Nb_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.1444528039817119,0.7836734693877551,1.9234508348794062,0.06935194808134852,2.7392341232186084
"Nb_=Low chemistry value, Mg_=Low chemistry value",Ca_=Low chemistry value,0.09502864749117426,0.5713291579679889,1.3235013434145166,0.02322770224543033,1.3257722947230441
"Nb_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.08084958620290526,0.8507917174177831,1.6635543833045008,0.032249079351842874,3.2744156821244603
"Nb_=Low chemistry value, Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.08084958620290526,0.5596955128205129,1.2965516511631106,0.01849218907925291,1.2907429800731673
"Nb_=Low chemistry value, Zn_=Low chemistry value, Ca_=Low chemistry value",Mg_=Low chemistry value,0.08084958620290526,0.9782913165266107,2.4011215423669467,0.04717799366735773,27.296404921879912
Al_=Low chemistry value,Mg_=Low chemistry value,0.25447074483477056,0.6817054263565893,1.6731801224453844,0.10238266930656217,1.861700020919673
Mg_=Low chemistry value,Al_=Low chemistry value,0.25447074483477056,0.6245738636363637,1.6731801224453842,0.10238266930656217,1.6693417112932605
"Al_=Low chemistry value, Mg_=Low chemistry value",Zn_=Low chemistry value,0.23693500781295213,0.9310893791221285,1.8205605275377683,0.10679101961312185,7.0899076828222
"Al_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.23693500781295213,0.9547574626865671,2.3433599712728967,0.13582591201993544,13.097607906146719
"Mg_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.23693500781295213,0.6370992841581076,1.7067346559640217,0.09811143205382328,1.7269585911054934
Al_=Low chemistry value,"Mg_=Low chemistry value, Zn_=Low chemistry value",0.23693500781295213,0.6347286821705426,1.706734655964022,0.09811143205382328,1.7195532404320932
Mg_=Low chemistry value,"Al_=Low chemistry value, Zn_=Low chemistry value",0.23693500781295213,0.5815340909090908,2.3433599712728963,0.13582591201993544,1.7966517086871905
"Al_=Low chemistry value, Mg_=Low chemistry value",Ca_=Low chemistry value,0.15440708374327217,0.606777348191949,1.405618152488093,0.044557133762222714,1.445287862508644
"Al_=Low chemistry value, Ca_=Low chemistry value",Mg_=Low chemistry value,0.15440708374327217,0.7543115634718688,1.8513848729020483,0.07100622744198952,2.4118718112429653
"Mg_=Low chemistry value, Ca_=Low chemistry value",Al_=Low chemistry value,0.15440708374327217,0.691012691012691,1.8511640756601997,0.07099627982077038,2.0282855985105543
"Al_=Low chemistry value, Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.14011227501591528,0.5913531998045921,1.3698876443790786,0.037832153291463055,1.3907362682146982
"Al_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.14011227501591528,0.9074212893553224,1.7742822743884368,0.061143850972897956,5.277346562593945
"Al_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.14011227501591528,0.9942505133470226,2.4402918494493187,0.08269607906069243,103.06468214926545
"Mg_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.14011227501591528,0.6944922547332186,1.8604855301605092,0.06480275352566892,2.0513866461690453
