antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
Ni_=High chemistry value,Nb_=Low chemistry value,0.19428207650905724,0.5811980609418282,1.1282464099554939,0.022083809539414412,1.157745409273064
Ni_=High chemistry value,Mg_=Medium chemistry value,0.19428207650905724,0.5811980609418282,1.1282464099554939,0.022083809539414412,1.157745409273064
"Ni_=High chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.09427628913710284,0.6082897684839432,1.1808379855784807,0.0144378267159284,1.237818119947118
"Ni_=High chemistry value, Ca_=Low chemistry value",Mg_=Medium chemistry value,0.09340818334394352,0.6026885735623599,1.169964707626561,0.013569720922769077,1.220367676526811
"Mg_=Medium chemistry value, Ni_=High chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.06950633717229006,0.7441140024783147,1.4445057688824627,0.021388608140260362,1.8948517192628542
"Mg_=Medium chemistry value, Ni_=High chemistry value, Nb_=Low chemistry value",Ca_=Low chemistry value,0.06950633717229006,0.5464058234758871,1.2657656822415677,0.014593853647535293,1.2529259751010653
"Ni_=High chemistry value, Ca_=Low chemistry value, Nb_=Low chemistry value",Mg_=Medium chemistry value,0.06950633717229006,0.7372621240024554,1.4312046107896224,0.02094141734999986,1.8454363326884284
"Al_=Low chemistry value, Ni_=High chemistry value",Nb_=Low chemistry value,0.07691417327391631,0.6195804195804195,1.2027558779833805,0.012965890266664948,1.2745559043109111
"Al_=Low chemistry value, Ni_=High chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.03264077782279067,0.5685483870967742,1.103690324755102,0.0030665602268963345,1.1238016218704248
"Mg_=Medium chemistry value, Ni_=High chemistry value, Al_=Low chemistry value",Nb_=Low chemistry value,0.03640256959314775,0.6927312775330395,1.3447594365232436,0.009332620422712205,1.5779869114123444
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Ni_=High chemistry value",Nb_=Low chemistry value,0.03084669251692806,0.6315165876777251,1.2259268754615675,0.005684757384937317,1.3158421956730928
"Al_=Low chemistry value, Ni_=High chemistry value",Zn_=Low chemistry value,0.063140228022455,0.5086247086247087,0.9945146928059682,-0.00034825382622272194,0.9942908179665064
"Ni_=High chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.063140228022455,0.5566326530612244,1.4911714127511468,0.020797525176533348,1.413533299798987
"Al_=Low chemistry value, Ni_=High chemistry value, Zn_=Low chemistry value",Nb_=Low chemistry value,0.034955726604548876,0.5536205316223648,1.074711736423193,0.002430049792935242,1.0862193642138154
"Ni_=High chemistry value, Nb_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.034955726604548876,0.7447595561035759,1.9951473441726648,0.017435353131057825,2.455388728268349
"Al_=Low chemistry value, Ni_=High chemistry value, num_crystallizer=Medium",Zn_=Low chemistry value,0.03136755599282366,0.6429418742586003,1.257145258041683,0.0064161386508957766,1.368320464281821
"Ni_=High chemistry value, num_crystallizer=Medium, Zn_=Low chemistry value",Al_=Low chemistry value,0.03136755599282366,0.6491017964071857,1.7388883628092653,0.013328700443668264,1.7860294026148256
"Ni_=High chemistry value, cast_in_row=Low",Nb_=Low chemistry value,0.06452919729150992,0.5750386797318204,1.1162895570257416,0.006722334470502744,1.14096506955803
"Ni_=High chemistry value, cast_in_row=Low",Mg_=Medium chemistry value,0.060593784362520976,0.5399690562145435,1.0482109113954723,0.002786921541513797,1.053985669636566
"workpiece_weight_tonn=Medium, Ni_=High chemistry value, cast_in_row=Low",Mg_=Medium chemistry value,0.03275652526187858,0.6373873873873874,1.2373235217016816,0.006282830478457041,1.3371460491840348
"Mg_=Medium chemistry value, Ni_=High chemistry value, cast_in_row=Low",workpiece_weight_tonn=Medium,0.03275652526187858,0.5405921680993315,1.3315598107752458,0.008156409670520018,1.2930033320102192
"workpiece_weight_tonn=Medium, Ni_=High chemistry value, cast_in_row=Low",Nb_=Low chemistry value,0.031425429712367614,0.6114864864864865,1.187043590607797,0.004951734928946072,1.2480029792384324
"Mg_=Medium chemistry value, Ni_=High chemistry value, cast_in_row=Low",Nb_=Low chemistry value,0.040337982522136696,0.6657115568290354,1.2923076048139426,0.009124065361953863,1.450442072540574
"Ni_=High chemistry value, cast_in_row=Low, Nb_=Low chemistry value",Mg_=Medium chemistry value,0.040337982522136696,0.6251121076233184,1.2134942262243926,0.00709680044610627,1.2933627150915554
"Mg_=Low chemistry value, Ni_=High chemistry value",Zn_=Low chemistry value,0.09115110828172927,0.860655737704918,1.6828415176873688,0.03698610978145877,3.506207807505199
"Ni_=High chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.09115110828172927,0.8035714285714286,1.9722884537337662,0.044935196958428736,3.0167149824537414
"Mg_=Low chemistry value, Ni_=High chemistry value",Al_=Low chemistry value,0.06701776723189999,0.6327868852459015,1.6951821070021602,0.027483508962493547,1.7066779038138775
"Al_=Low chemistry value, Ni_=High chemistry value",Mg_=Low chemistry value,0.06701776723189999,0.5398601398601398,1.3250345677050221,0.01643963978879813,1.2878019614089593
"Mg_=Low chemistry value, Ni_=High chemistry value",Ca_=Low chemistry value,0.05341744313907055,0.5043715846994535,1.1683920917042308,0.007698678421008118,1.1466653411649386
"Mg_=Low chemistry value, Ni_=High chemistry value, Al_=Low chemistry value",Zn_=Low chemistry value,0.05827883558076277,0.8696027633851467,1.700335651072983,0.024003934890427667,3.7467813971635726
"Mg_=Low chemistry value, Ni_=High chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.05827883558076277,0.6393650793650792,1.7128045281161557,0.02425344936529001,1.7378087175754329
"Al_=Low chemistry value, Ni_=High chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.05827883558076277,0.923006416131989,2.2654300943671357,0.03255355024723171,7.6963427943085305
"Mg_=Low chemistry value, Ni_=High chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.05827883558076277,0.5502732240437158,2.217390633920561,0.031996215509566675,1.6717650155404646
