antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
Mg_=Low chemistry value,Zn_=Low chemistry value,0.3718965217894554,0.912784090909091,1.7847681687018424,0.16352406854251317,5.601844267664636
Zn_=Low chemistry value,Mg_=Low chemistry value,0.3718965217894554,0.7271698540228584,1.7847681687018422,0.16352406854251317,2.171933795249309
"Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.20174778633022744,0.5424836601307189,1.2566798717520702,0.04120746825467053,1.2421849809430108
"Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.20174778633022744,0.9028749028749029,1.7653927177521158,0.08746851900260755,5.0303161062561506
"Ca_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.20174778633022744,0.9721137757947573,2.385959365334888,0.11719153224586228,21.2495248567625
"Nb_=Low chemistry value, Mg_=Low chemistry value",Zn_=Low chemistry value,0.1444528039817119,0.8684759916492694,1.6981324725254865,0.05938711781243462,3.714682562648303
"Nb_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.1444528039817119,0.7836734693877551,1.9234508348794062,0.06935194808134852,2.7392341232186084
"Nb_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.08084958620290526,0.8507917174177831,1.6635543833045008,0.032249079351842874,3.2744156821244603
"Nb_=Low chemistry value, Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.08084958620290526,0.5596955128205129,1.2965516511631106,0.01849218907925291,1.2907429800731673
"Nb_=Low chemistry value, Zn_=Low chemistry value, Ca_=Low chemistry value",Mg_=Low chemistry value,0.08084958620290526,0.9782913165266107,2.4011215423669467,0.04717799366735773,27.296404921879912
Al_=Low chemistry value,Zn_=Low chemistry value,0.24816250940447943,0.6648062015503876,1.2998966115864148,0.05725308846090307,1.4575745215152378
"Al_=Low chemistry value, Mg_=Low chemistry value",Zn_=Low chemistry value,0.23693500781295213,0.9310893791221285,1.8205605275377683,0.10679101961312185,7.0899076828222
"Al_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.23693500781295213,0.9547574626865671,2.3433599712728967,0.13582591201993544,13.097607906146719
"Mg_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.23693500781295213,0.6370992841581076,1.7067346559640217,0.09811143205382328,1.7269585911054934
Al_=Low chemistry value,"Mg_=Low chemistry value, Zn_=Low chemistry value",0.23693500781295213,0.6347286821705426,1.706734655964022,0.09811143205382328,1.7195532404320932
Mg_=Low chemistry value,"Al_=Low chemistry value, Zn_=Low chemistry value",0.23693500781295213,0.5815340909090908,2.3433599712728963,0.13582591201993544,1.7966517086871905
"Al_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.14092250708953064,0.5678638059701492,1.3154737502826395,0.033795696646333,1.3151407675941649
