,KMeans_Cluster,GMM_Cluster,DBSCAN_Cluster,Hierarchical_Cluster
0,4,4,2,3
1,4,4,2,3
2,4,4,2,3
3,4,4,2,3
4,4,4,2,3
5,4,4,2,3
6,4,4,2,3
7,0,0,3,1
8,4,4,2,3
9,4,4,2,3
10,4,4,2,3
11,4,4,2,3
12,4,4,2,3
13,4,4,2,3
14,4,4,2,3
15,0,0,11,0
16,0,0,0,1
17,0,0,3,0
18,4,4,2,3
19,4,4,2,3
20,4,4,2,3
21,4,4,2,3
23,4,4,2,3
24,4,4,2,3
25,4,4,2,3
26,4,4,2,3
27,4,4,2,3
28,4,4,2,3
29,4,4,2,3
30,0,0,0,1
31,0,0,3,0
32,4,4,2,3
33,4,4,2,3
34,4,4,2,3
35,4,4,2,3
36,4,4,11,3
37,4,4,2,3
38,4,4,2,3
39,4,4,2,3
40,4,4,2,3
41,4,4,2,3
42,4,4,2,3
43,0,0,11,1
44,4,4,2,3
45,4,4,2,3
46,4,4,2,3
47,4,4,2,3
48,4,4,2,3
49,4,4,2,3
50,4,4,2,3
51,0,0,11,0
52,0,0,0,1
53,0,0,3,0
54,4,4,2,3
55,4,4,2,3
56,4,4,2,3
57,4,4,2,3
58,4,4,2,3
59,4,4,2,3
60,4,4,2,3
61,4,4,2,3
63,4,4,2,3
64,4,4,2,3
65,4,4,11,3
66,0,0,0,0
67,0,0,3,0
68,0,0,3,0
69,0,0,3,0
70,0,0,14,0
71,0,0,3,0
72,0,0,3,0
73,0,0,3,0
74,0,0,3,0
75,0,0,3,0
76,0,0,3,0
77,0,0,0,0
78,0,0,3,0
79,0,0,3,0
80,0,0,14,0
81,0,0,3,0
82,0,0,14,0
83,0,0,0,0
84,0,0,14,0
85,0,0,14,0
86,0,0,3,0
87,0,0,3,0
88,0,0,0,0
89,0,0,3,0
90,0,0,14,0
91,0,0,3,0
92,0,0,14,0
93,0,0,14,0
94,0,0,14,0
95,0,0,14,0
96,0,0,3,0
97,0,0,14,0
98,0,0,3,0
99,0,0,3,0
100,0,0,14,0
101,0,0,3,0
102,1,3,6,1
103,1,3,6,1
104,1,3,6,1
105,1,3,6,1
106,1,3,6,1
107,1,3,6,1
108,3,3,0,0
109,1,3,0,1
110,3,3,0,1
111,1,3,6,1
112,1,3,6,1
113,1,1,0,1
114,1,3,6,1
115,1,1,0,1
116,1,3,6,1
117,3,3,0,1
118,3,3,0,1
119,3,3,0,1
120,1,3,6,1
121,1,3,6,1
122,1,3,6,1
123,3,3,0,0
124,3,3,0,0
125,3,3,0,0
126,3,3,0,0
127,1,3,6,1
128,3,3,0,0
129,3,3,0,1
130,3,3,0,1
131,3,3,0,1
132,3,3,0,1
133,3,3,0,1
134,3,3,0,1
135,3,3,0,1
136,3,3,0,1
137,3,3,0,1
138,3,3,0,0
139,1,3,6,1
140,3,3,0,1
141,3,3,0,1
142,3,3,0,1
143,3,3,0,1
144,3,3,0,1
145,3,3,0,1
146,3,3,0,1
147,3,3,0,1
148,3,3,0,1
149,3,3,0,1
150,3,3,0,1
151,3,3,0,1
152,3,3,0,0
153,3,3,0,0
154,3,3,0,0
155,3,3,0,0
156,3,3,0,1
157,3,3,0,0
158,3,3,0,1
159,3,3,0,0
160,3,3,0,0
161,3,3,0,0
162,3,3,0,0
163,3,3,0,0
164,1,3,6,1
165,1,3,6,1
166,3,3,0,1
167,3,3,0,1
168,3,3,0,1
169,3,3,0,1
170,3,3,0,1
171,3,3,0,1
172,3,3,0,1
173,3,3,0,1
174,3,3,0,1
175,3,3,0,1
176,1,3,6,1
177,3,3,0,0
178,3,3,0,1
179,3,3,0,0
180,1,3,6,1
181,1,3,0,1
182,1,3,6,1
183,1,3,6,1
184,1,1,0,1
185,1,3,6,1
186,1,3,6,1
187,1,3,6,1
188,3,3,0,1
189,3,3,0,1
190,1,3,6,1
191,3,3,0,0
192,1,3,6,1
193,1,3,6,1
194,1,3,6,1
195,1,3,0,1
196,1,3,6,1
197,1,3,6,1
198,1,1,0,1
199,1,3,6,1
200,1,3,6,1
201,1,3,6,1
202,1,3,6,1
203,1,3,6,1
204,1,3,6,1
205,3,3,0,1
206,3,3,0,1
207,3,3,0,1
208,3,3,0,1
209,3,3,0,1
210,3,3,0,1
211,3,3,0,1
212,3,3,0,1
213,3,3,0,1
214,3,3,0,1
215,3,3,0,1
216,3,3,0,0
217,1,3,0,1
218,1,3,6,1
219,1,3,0,1
220,1,3,6,1
221,3,3,0,0
222,3,3,0,1
223,1,3,6,1
224,1,3,0,1
225,1,3,6,1
226,1,3,0,1
227,1,1,0,1
228,1,3,6,1
229,1,3,6,1
230,1,3,6,1
231,1,3,6,1
232,1,3,6,1
233,1,3,6,1
234,3,3,0,1
235,3,3,0,1
236,1,3,6,1
237,3,3,0,1
238,3,3,0,1
239,3,3,0,1
240,3,3,0,1
241,3,3,0,1
242,3,3,0,1
243,3,3,0,1
244,3,3,0,1
245,3,3,0,1
246,3,3,0,0
247,3,3,0,0
248,3,3,0,0
249,3,3,0,0
250,3,3,0,0
251,3,3,0,1
252,1,1,0,1
253,1,3,6,1
254,1,3,6,1
255,1,3,6,1
256,3,3,0,0
257,3,3,0,0
258,3,3,0,0
259,3,3,0,1
260,3,3,0,0
261,3,3,0,1
262,3,3,0,0
263,3,3,0,0
264,3,3,0,0
265,3,3,0,0
266,3,3,0,1
267,3,3,0,1
268,3,3,0,1
269,3,3,0,0
270,3,3,0,1
271,3,3,0,1
272,1,3,6,1
273,1,3,6,1
274,3,3,0,1
275,3,3,0,1
276,1,3,6,1
277,3,3,0,1
278,3,3,0,1
279,3,3,0,1
280,3,3,0,1
281,3,3,0,1
282,3,3,0,1
283,1,3,0,1
284,1,3,0,1
285,1,3,0,1
286,1,3,0,1
287,3,3,0,1
288,1,3,0,1
289,1,3,0,1
290,1,3,0,1
291,1,3,0,1
292,1,3,0,1
293,1,3,0,1
294,1,3,0,1
295,3,3,0,1
296,1,3,0,1
297,1,3,0,1
298,1,3,0,1
299,1,3,0,1
300,1,3,0,1
301,1,3,0,1
302,1,3,0,1
303,1,3,0,1
306,1,3,0,1
307,1,3,0,1
308,1,3,0,1
309,1,3,0,1
310,1,3,0,1
311,1,3,0,1
312,1,3,0,1
313,1,1,0,1
314,1,3,0,1
315,1,3,0,1
316,1,3,0,1
317,1,3,0,1
318,1,3,0,1
319,1,3,0,1
320,3,3,0,0
321,3,3,0,0
322,1,3,0,1
323,1,3,0,1
324,1,3,0,1
325,1,3,0,1
327,1,3,0,1
328,3,3,0,0
329,3,3,0,0
330,1,3,0,1
331,1,3,0,1
332,1,3,0,1
333,1,1,0,1
334,1,3,0,1
335,1,3,0,1
336,3,3,0,1
337,1,3,0,1
338,1,3,0,1
339,1,3,0,1
340,3,3,0,1
341,1,3,0,1
342,1,3,0,1
343,1,3,0,1
344,1,3,0,1
345,1,3,0,1
346,1,3,0,1
347,1,3,0,1
348,1,3,0,1
349,1,3,0,1
350,1,3,0,1
351,1,3,0,1
352,1,3,0,1
353,1,3,0,1
354,1,3,0,1
355,1,3,0,1
356,1,3,0,1
357,1,3,0,1
358,1,3,0,1
359,1,3,0,1
360,1,3,0,1
361,1,3,0,1
362,3,3,0,1
363,1,3,0,1
364,1,3,0,1
365,1,3,0,1
366,1,1,0,1
367,1,3,0,1
368,1,3,0,1
369,3,3,0,1
370,1,3,0,1
371,1,3,0,1
372,1,3,0,1
373,3,3,0,1
374,1,3,0,1
375,1,3,0,1
376,3,3,0,1
377,1,3,0,1
378,1,3,0,1
379,1,3,0,1
380,3,3,0,0
381,1,3,0,1
382,1,3,0,1
383,1,3,0,1
384,1,3,0,1
385,1,3,0,1
386,1,3,0,1
387,1,3,0,1
388,3,3,0,1
389,1,3,0,1
390,1,3,0,1
391,1,3,0,1
392,1,3,0,1
393,1,3,0,1
394,1,3,0,1
395,1,3,0,1
396,1,3,0,1
397,1,3,0,1
398,1,3,0,1
399,1,3,0,1
401,1,3,0,1
402,3,3,0,1
403,1,3,0,1
404,1,3,0,1
405,3,3,0,1
406,1,3,0,1
407,1,3,0,1
408,1,3,0,1
409,3,3,0,1
410,1,3,0,1
411,1,3,0,1
412,1,3,0,1
413,1,3,0,1
414,1,3,0,1
415,1,3,0,1
416,3,3,0,1
417,1,3,0,1
418,1,3,0,1
419,3,3,0,0
420,3,3,0,0
421,1,3,0,1
422,1,3,0,1
423,1,3,0,1
424,1,3,0,1
425,1,1,0,1
426,1,3,0,1
427,3,3,0,1
428,1,3,0,1
429,1,3,0,1
430,1,3,0,1
431,3,3,0,1
432,1,3,0,1
433,1,3,0,1
434,1,1,0,1
435,3,3,0,0
437,3,3,0,0
441,1,3,0,1
443,1,3,0,1
444,3,3,0,0
445,3,3,0,0
446,1,3,0,1
447,1,3,0,1
448,1,3,0,1
449,1,3,0,1
450,1,3,0,1
453,1,3,0,1
454,1,3,0,1
455,1,3,0,1
457,1,3,0,1
458,1,3,0,1
459,1,3,0,1
460,1,3,0,1
461,1,3,0,1
462,1,3,0,1
463,1,3,0,1
464,1,3,0,1
465,1,3,0,1
466,1,3,0,1
467,1,3,0,1
468,1,3,0,1
469,0,0,0,0
470,1,3,0,1
471,3,1,0,1
472,3,0,0,0
473,0,0,0,0
474,0,0,0,0
475,1,0,0,1
476,0,0,0,1
477,1,0,0,0
478,3,3,22,0
479,0,0,0,0
480,0,0,0,0
481,3,0,0,0
482,3,1,0,1
483,1,3,0,1
484,1,3,0,1
485,3,3,0,0
486,0,0,0,0
487,3,3,22,0
488,3,3,22,0
489,3,3,22,0
490,3,3,0,0
491,1,3,0,1
492,1,3,0,1
493,1,3,0,1
494,3,3,0,0
495,3,0,0,1
496,0,0,0,1
497,0,0,0,0
498,1,3,0,1
499,1,3,0,1
500,1,3,0,1
501,1,3,0,1
502,1,3,0,1
503,1,3,0,1
504,1,3,0,1
505,1,3,0,1
506,1,3,0,1
507,1,3,0,1
508,1,0,0,0
509,0,0,0,0
510,0,0,0,0
511,0,0,0,0
512,1,0,0,0
513,1,3,0,1
514,0,0,0,0
515,1,3,0,1
516,1,3,0,1
517,3,3,22,0
518,3,3,22,0
519,1,3,0,1
520,1,3,0,1
521,1,3,0,1
522,1,3,0,1
523,3,3,0,0
524,1,3,0,1
525,1,3,0,1
526,1,3,0,1
527,1,3,0,1
528,1,3,0,1
529,1,0,0,0
530,0,0,0,0
531,1,3,0,1
532,3,3,22,0
533,3,3,0,0
534,1,3,0,1
535,1,3,0,1
536,1,3,0,1
537,1,0,0,0
538,0,0,0,0
539,0,0,0,0
540,0,0,0,0
541,1,0,0,0
542,0,0,0,0
543,0,0,0,1
544,3,0,0,1
545,0,0,0,0
546,0,0,0,0
547,3,0,0,0
548,3,1,0,1
549,1,3,0,1
550,1,3,0,1
551,3,3,22,0
552,1,3,0,1
553,3,3,22,0
554,0,0,0,0
555,0,0,0,0
556,0,0,0,0
557,1,0,0,0
558,1,3,0,1
559,1,3,0,1
560,1,3,0,1
561,1,3,0,1
562,1,3,0,1
563,1,3,0,1
564,1,3,0,1
565,1,3,0,1
566,1,3,0,1
567,0,0,0,0
568,0,0,0,0
569,1,0,0,0
570,0,0,0,0
571,0,0,0,1
572,1,0,0,1
573,3,3,22,0
574,3,3,22,0
575,3,3,0,0
576,1,3,0,1
577,1,3,0,1
578,3,1,0,1
579,3,0,0,0
580,0,0,0,0
581,0,0,0,0
582,1,0,0,1
583,0,0,0,1
584,0,0,0,0
585,1,0,0,0
586,3,0,0,0
587,0,0,0,0
588,0,0,0,0
589,0,0,0,0
590,1,0,0,0
591,1,3,0,1
592,1,3,0,1
593,1,0,0,1
594,0,0,0,1
595,0,0,0,0
596,1,0,0,0
597,0,0,0,0
598,0,0,0,0
599,0,0,0,0
600,0,0,0,0
601,1,0,0,0
602,1,3,0,1
603,1,3,0,1
604,1,3,0,1
605,1,3,0,1
606,1,3,0,1
607,1,3,0,1
608,1,3,0,1
609,1,3,0,1
610,3,3,22,0
611,0,0,0,0
612,3,1,0,1
613,1,3,0,1
614,1,3,0,1
615,1,3,0,1
616,1,3,0,1
617,1,3,0,1
618,1,3,0,1
619,1,3,0,1
620,3,0,0,0
621,1,3,0,1
622,1,3,0,1
623,3,3,22,0
624,3,3,22,0
625,3,3,22,0
626,3,3,0,0
627,1,3,0,1
628,1,3,0,1
629,1,3,0,1
630,3,3,22,0
631,1,3,0,1
632,3,1,0,1
633,1,3,0,1
634,1,3,0,1
635,3,3,22,0
636,3,3,22,0
637,3,3,22,0
638,3,3,22,0
639,3,3,22,0
640,3,3,0,0
641,3,3,22,0
642,1,3,0,1
643,3,3,0,1
644,3,1,0,1
645,1,1,0,1
646,1,3,0,1
647,1,1,24,1
648,1,1,0,1
649,1,1,0,1
650,1,1,0,1
651,1,3,0,1
652,1,3,0,1
653,3,3,0,1
654,3,1,0,1
655,1,3,0,1
656,3,3,0,1
657,3,3,0,1
658,1,3,0,1
659,3,3,0,1
660,1,3,0,1
661,1,1,0,1
662,3,1,0,1
663,3,3,0,1
664,1,1,0,1
665,3,1,0,1
666,1,1,24,1
667,1,1,0,1
668,1,1,0,1
669,1,1,0,1
670,3,3,0,1
671,3,3,0,1
672,1,1,0,1
673,1,3,0,1
674,1,3,0,1
675,1,1,0,1
676,1,1,0,1
677,1,1,24,1
678,1,3,0,1
679,1,3,0,1
680,3,3,0,1
681,3,3,0,1
682,1,1,0,1
683,3,1,0,1
684,1,1,0,1
685,3,3,0,1
686,3,3,0,1
687,3,1,0,1
688,3,3,0,1
689,1,1,0,1
690,3,1,0,1
691,1,1,0,1
692,3,3,0,1
693,3,1,0,1
694,1,1,0,1
695,1,3,0,1
696,3,3,0,1
697,3,1,0,1
698,3,3,0,1
699,1,1,0,1
700,3,1,0,1
701,3,3,0,1
702,3,3,0,1
703,1,1,0,1
704,1,3,0,1
705,3,3,0,0
706,3,3,0,0
707,3,3,0,0
708,1,3,0,1
709,1,3,0,1
710,1,3,24,1
711,1,3,24,1
712,1,3,24,1
713,1,3,0,1
714,1,3,24,1
715,1,3,24,1
716,1,3,24,1
717,3,3,0,0
718,3,3,0,0
719,3,3,0,0
720,3,3,0,0
721,3,3,0,0
722,3,3,0,0
723,3,3,0,0
724,3,3,0,0
725,3,3,0,0
726,3,3,0,1
727,1,3,0,1
728,1,1,0,1
729,3,3,0,0
730,3,3,0,0
731,3,3,0,0
732,1,1,0,1
733,3,3,0,0
734,1,3,0,1
735,3,3,0,0
736,1,3,24,1
737,1,1,24,1
738,3,3,0,1
739,1,1,0,1
740,1,3,0,1
741,1,3,0,1
742,1,3,24,1
743,1,3,24,1
744,1,3,24,1
745,1,3,0,1
746,1,3,24,1
747,1,3,24,1
748,3,3,0,0
749,3,3,0,0
750,3,3,0,0
751,3,3,0,0
752,3,3,0,0
753,3,3,0,0
754,3,3,0,0
755,3,3,0,0
756,3,3,0,0
