antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
"num_crystallizer=Low, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.07535158284622953,0.636986301369863,1.2365449164554392,0.014414384493398859,1.335668665311912
"num_crystallizer=Low, Mo_=Medium chemistry value",Nb_=Low chemistry value,0.061230395277504485,0.5176125244618395,1.0048114605298422,0.00029319692467381225,1.0051380828209318
"workpiece_weight_tonn=Medium, num_crystallizer=Low, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.034376989409109326,0.7165259348612787,1.3909506379584358,0.009662245067379078,1.7104422660393324
"Nb_=Low chemistry value, num_crystallizer=Low, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.042363562706175126,0.6918714555765596,1.343090313549868,0.010821705633134594,1.5735835939721863
"Mo_=Medium chemistry value, num_crystallizer=Low, Mg_=Medium chemistry value",Nb_=Low chemistry value,0.042363562706175126,0.5622119815668203,1.0913898246818434,0.003547402111563805,1.1075360720801948
"Mo_=Medium chemistry value, num_crystallizer=Low, Mg_=Medium chemistry value",resistance_tonn=High resistance,0.04201632038891139,0.5576036866359446,1.640530240317127,0.016404893451246825,1.4921183228196073
"resistance_tonn=High resistance, num_crystallizer=Low, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.04201632038891139,0.7333333333333333,1.423577875145115,0.012501728231718457,1.818247583772209
"Nb_=Low chemistry value, num_crystallizer=Low, Mo_=Medium chemistry value",resistance_tonn=High resistance,0.03304589385959836,0.5396975425330813,1.5878484313688255,0.012234150618393204,1.4340736930907931
"resistance_tonn=High resistance, num_crystallizer=Low, Mo_=Medium chemistry value",Nb_=Low chemistry value,0.03304589385959836,0.5767676767676768,1.1196459596527006,0.0035313017024054226,1.145626162567693
"As_=Medium chemistry value, num_crystallizer=Low, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.031541177151455525,0.6307870370370371,1.2245106407103656,0.005782987632450779,1.3132421420097713
"num_crystallizer=Medium, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.06962208461137798,0.6520325203252033,1.2657532770137276,0.014617617409336592,1.3934233819562727
"num_crystallizer=Medium, Mo_=Medium chemistry value",Nb_=Low chemistry value,0.05660049771398808,0.5300813008130081,1.0290163798166463,0.0015960305119466917,1.0318083174347483
"num_crystallizer=Medium, Mo_=Medium chemistry value, Mg_=Medium chemistry value",Nb_=Low chemistry value,0.03744429654493894,0.5378221113881961,1.0440431707310012,0.0015795951660469154,1.0490896130829581
"num_crystallizer=Medium, Mo_=Medium chemistry value, Nb_=Low chemistry value",Mg_=Medium chemistry value,0.03744429654493894,0.6615541922290389,1.2842371517273974,0.008287457019954404,1.4326252865492213
"num_crystallizer=Medium, workpiece_weight_tonn=Medium, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.034376989409109326,0.7243902439024391,1.4062171693506624,0.009930559541535381,1.7592483996380084
"num_crystallizer=Medium, resistance_tonn=High resistance, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.031425429712367614,0.7418032786885246,1.4400200935242127,0.00960251914765526,1.8778938008060064
"num_crystallizer=Medium, Al_=Low chemistry value, Ni_=High chemistry value",Zn_=Low chemistry value,0.03136755599282366,0.6429418742586003,1.257145258041683,0.0064161386508957766,1.368320464281821
"num_crystallizer=Medium, Ni_=High chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.03136755599282366,0.6491017964071857,1.7388883628092653,0.013328700443668264,1.7860294026148256
"num_crystallizer=Medium, Mg_=Low chemistry value, Ni_=High chemistry value",Zn_=Low chemistry value,0.041090340876208116,0.8987341772151899,1.757296350356599,0.017707636605599538,4.824628161351931
"num_crystallizer=Medium, Ni_=High chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.041090340876208116,0.8502994011976048,2.0869777490473598,0.021401419470618348,3.9583610162625167
"num_crystallizer=Medium, Al_=Low chemistry value, Ni_=High chemistry value",Mg_=Low chemistry value,0.03258290410324671,0.66785290628707,1.6391804499622558,0.01270534632490878,1.7840559969574958
"num_crystallizer=Medium, Mg_=Low chemistry value, Ni_=High chemistry value",Al_=Low chemistry value,0.03258290410324671,0.7126582278481012,1.9091506230988124,0.015516202445961965,2.1810769253910864
"num_crystallizer=Low, Ni_=High chemistry value",Nb_=Low chemistry value,0.0603044157648012,0.5678474114441416,1.1023295609867796,0.005598075756266814,1.1219787528279122
"num_crystallizer=Low, Ni_=High chemistry value",Mg_=Medium chemistry value,0.06638115631691649,0.6250681198910082,1.2134088353664456,0.011674816308382102,1.2932109752798466
"num_crystallizer=Low, Ni_=High chemistry value, Ca_=Low chemistry value",Mg_=Medium chemistry value,0.030094334162856645,0.6318347509113,1.2265445074706611,0.005558466137230596,1.316979328003985
"workpiece_weight_tonn=Medium, num_crystallizer=Low, Ni_=High chemistry value",Mg_=Medium chemistry value,0.03333526245731813,0.6973365617433414,1.3536994102194355,0.008709956273639984,1.601997337808901
"num_crystallizer=Low, Ni_=High chemistry value, Mg_=Medium chemistry value",workpiece_weight_tonn=Medium,0.03333526245731813,0.5021795989537925,1.2369438760260272,0.006385565625142128,1.193233254705483
"Nb_=Low chemistry value, num_crystallizer=Low, Ni_=High chemistry value",Mg_=Medium chemistry value,0.043058047340702586,0.7140115163147793,1.3860695416698205,0.011993193777273252,1.6954040109983377
"num_crystallizer=Low, Ni_=High chemistry value, Mg_=Medium chemistry value",Nb_=Low chemistry value,0.043058047340702586,0.6486486486486486,1.2591843613077183,0.008862858245449759,1.3800032943501892
"num_crystallizer=Low, resistance_tonn=High resistance, Ni_=High chemistry value",Mg_=Medium chemistry value,0.03721280166676312,0.7097130242825607,1.3777251260058834,0.010202477935028976,1.670298921062227
"num_crystallizer=Low, Ni_=High chemistry value, Mg_=Medium chemistry value",resistance_tonn=High resistance,0.03721280166676312,0.5605928509154315,1.649324684312573,0.014650354126439575,1.5022687876006933
"Nb_=Low chemistry value, num_crystallizer=Low, Ni_=High chemistry value",resistance_tonn=High resistance,0.03368250477458186,0.5585412667946257,1.6432887023572853,0.013185494890521586,1.4952873178550488
"num_crystallizer=Low, resistance_tonn=High resistance, Ni_=High chemistry value",Nb_=Low chemistry value,0.03368250477458186,0.6423841059602649,1.247023364440784,0.006672181042847714,1.355829062467178
"num_crystallizer=Medium, Ni_=High chemistry value",Nb_=Low chemistry value,0.07054806412408125,0.5777251184834123,1.1215045862571489,0.007643226294104383,1.1482236892658022
"num_crystallizer=Medium, Ni_=High chemistry value",Mg_=Medium chemistry value,0.06626540887782857,0.5426540284360188,1.0534230937362061,0.0033605710478517015,1.0601733752702895
"num_crystallizer=Medium, Ni_=High chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.0358238323977082,0.6110562685093781,1.1862084331618408,0.005623547695449163,1.2466225396692034
"num_crystallizer=Medium, Ni_=High chemistry value, Nb_=Low chemistry value",Ca_=Low chemistry value,0.0358238323977082,0.5077932731747334,1.1763185369602118,0.005369638850539843,1.1546366494974631
"num_crystallizer=Medium, Ni_=High chemistry value, Mg_=Medium chemistry value",Ca_=Low chemistry value,0.034145494530933504,0.5152838427947599,1.1936706689436463,0.0055400379177195855,1.1724798471716698
"num_crystallizer=Medium, Ni_=High chemistry value, Ca_=Low chemistry value",Mg_=Medium chemistry value,0.034145494530933504,0.5824284304047385,1.1306348555177481,0.0039452098286744675,1.161156691795901
"num_crystallizer=Medium, As_=Medium chemistry value, Ni_=High chemistry value",Nb_=Low chemistry value,0.0301522078824006,0.5365602471678682,1.0415935862053247,0.0012040573928709629,1.0462331282031498
"num_crystallizer=Medium, As_=Medium chemistry value, Nb_=Low chemistry value",Ni_=High chemistry value,0.0301522078824006,0.5102840352595495,1.5265231726540434,0.01039999683015868,1.3594030904566237
"num_crystallizer=Medium, As_=Medium chemistry value, Ni_=High chemistry value",Mg_=Medium chemistry value,0.03206204062735112,0.5705458290422246,1.1075678440647792,0.0031138901378214845,1.12902855561491
"num_crystallizer=Medium, Ni_=High chemistry value, Mg_=Medium chemistry value",Nb_=Low chemistry value,0.04242143642571908,0.640174672489083,1.24273431815963,0.008285872769167653,1.3475038727632231
"num_crystallizer=Medium, Ni_=High chemistry value, Nb_=Low chemistry value",Mg_=Medium chemistry value,0.04242143642571908,0.601312551271534,1.167293514596207,0.006079731537215853,1.2161557226986683
"num_crystallizer=Medium, workpiece_weight_tonn=Medium, Ni_=High chemistry value",Mg_=Medium chemistry value,0.03321951501823022,0.6239130434782608,1.2111665518774148,0.005791813215586278,1.2892391345436858
"num_crystallizer=Medium, Ni_=High chemistry value, Mg_=Medium chemistry value",workpiece_weight_tonn=Medium,0.03321951501823022,0.5013100436681223,1.234802030583248,0.006316809810870568,1.1911526387426137
"num_crystallizer=Medium, workpiece_weight_tonn=Medium, Ni_=High chemistry value",Nb_=Low chemistry value,0.031541177151455525,0.592391304347826,1.1499752104062564,0.004113475348811582,1.1895379748056407
"num_crystallizer=Medium, resistance_tonn=High resistance, Ni_=High chemistry value",Mg_=Medium chemistry value,0.030904566236472017,0.6716981132075471,1.3039289628258857,0.007203454352665565,1.4768907577000319
"num_crystallizer=Medium, resistance_tonn=High resistance, Ni_=High chemistry value",Nb_=Low chemistry value,0.032235661785982986,0.70062893081761,1.3600906971798095,0.008534549902176534,1.6196154947886903
"num_crystallizer=Medium, resistance_tonn=High resistance, Nb_=Low chemistry value",Ni_=High chemistry value,0.032235661785982986,0.5013501350135013,1.4997972615821138,0.010742315577324048,1.335047781336791
"workpiece_weight_tonn=Low, num_crystallizer=Low",Nb_=Low chemistry value,0.060651658082064935,0.5284921835602623,1.0259315177775277,0.001533035609626962,1.028330825987962
"workpiece_weight_tonn=Low, num_crystallizer=Low",Mg_=Medium chemistry value,0.06505006076740552,0.5668179525970751,1.1003311316621573,0.005931438294967548,1.1193123658891084
"workpiece_weight_tonn=Low, num_crystallizer=Low",resistance_tonn=High resistance,0.05868395161757046,0.5113464447806354,1.5044364412335431,0.01967668616642696,1.3508704440347694
"workpiece_weight_tonn=Low, Mg_=Low chemistry value, num_crystallizer=Low",Zn_=Low chemistry value,0.03570808495862029,0.8417462482946794,1.6458677633001884,0.014012487198675875,3.0872566060855204
"workpiece_weight_tonn=Low, num_crystallizer=Low, Zn_=Low chemistry value",Mg_=Low chemistry value,0.03570808495862029,0.6347736625514403,1.5579906413673774,0.012788765669718184,1.6224706535410158
"Nb_=Low chemistry value, workpiece_weight_tonn=Low, num_crystallizer=Low",Al_=Low chemistry value,0.03200416690780716,0.5276717557251908,1.413587638321794,0.009363782937130687,1.3268622330720827
