antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
"workpiece_weight_tonn=Medium, Al_=Low chemistry value",Nb_=Low chemistry value,0.0791133746165866,0.5884631941455015,1.142349795712855,0.009858427564910649,1.1781838597218528
"workpiece_weight_tonn=Medium, Al_=Low chemistry value",Ca_=Low chemistry value,0.07407836101626251,0.5510116229014206,1.276435156470525,0.016043011049017154,1.2657787036586454
"workpiece_weight_tonn=Medium, Al_=Low chemistry value",Zn_=Low chemistry value,0.08189131315469646,0.6091261300043048,1.1910252801113932,0.013134323255172761,1.2499426999186454
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value",Al_=Low chemistry value,0.08235430291104809,0.6302037201062888,1.6882620278630331,0.0335737809589608,1.6947561211854894
"workpiece_weight_tonn=Medium, Al_=Low chemistry value",Mg_=Low chemistry value,0.08235430291104809,0.6125699526474386,1.50349378008453,0.027579016174299552,1.5294864671952466
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Nb_=Low chemistry value",Zn_=Low chemistry value,0.039643497887609236,0.5010972933430871,0.9797963258657011,-0.0008174600084944611,0.9792890154152847
"workpiece_weight_tonn=Medium, Nb_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.039643497887609236,0.6523809523809524,1.7476729420450352,0.016959907077294063,1.8028773544892167
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Nb_=Low chemistry value",Al_=Low chemistry value,0.03906476069216969,0.7830626450116009,2.0977580532023956,0.020442612807891898,2.888919287206225
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Nb_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.0358238323977082,0.7987096774193548,2.139675118779695,0.019081182037713668,3.1134855412157334
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Nb_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.0358238323977082,0.9036496350364963,2.217920744857332,0.019671842981146534,6.150148104109558
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Al_=Low chemistry value, Nb_=Low chemistry value",Zn_=Low chemistry value,0.0358238323977082,0.917037037037037,1.7930839609554103,0.015844939508264162,5.889012674344576
"workpiece_weight_tonn=Medium, Nb_=Low chemistry value, Zn_=Low chemistry value","Mg_=Low chemistry value, Al_=Low chemistry value",0.0358238323977082,0.5895238095238095,2.316666341769821,0.020360305453063887,1.8162545659477745
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Nb_=Low chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.0358238323977082,0.7180974477958236,2.893658069138068,0.023443712998051897,2.6670120036762905
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Ca_=Low chemistry value",Nb_=Low chemistry value,0.042942299901614675,0.5796875,1.1253140447702508,0.004782019132718758,1.153584588465144
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Nb_=Low chemistry value",Ca_=Low chemistry value,0.042942299901614675,0.542794440380395,1.2573998036375984,0.008790632486537449,1.2430293419758087
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.0460096070374443,0.62109375,1.2144255863132285,0.008123706447091164,1.2894216983490476
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.0460096070374443,0.5618374558303887,1.3015135271877312,0.010658758908450673,1.2970527341598694
"workpiece_weight_tonn=Medium, Ca_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.0460096070374443,0.7072953736654805,1.894783994041215,0.021727363160497393,2.141115829939922
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Mg_=Low chemistry value",Ca_=Low chemistry value,0.05087099947913652,0.617709065354884,1.4309418072485642,0.015320287897823505,1.4866162768134046
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Ca_=Low chemistry value",Mg_=Low chemistry value,0.05087099947913652,0.6867187499999999,1.6854848410866474,0.020689179839430052,1.8914921158242188
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Ca_=Low chemistry value",Al_=Low chemistry value,0.05087099947913652,0.7258464079273328,1.9444806329575788,0.02470925807790636,2.285997802193205
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.04543086984200474,0.9874213836477986,2.4235304102344193,0.0266851303001558,47.109236645638816
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Ca_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.04543086984200474,0.7302325581395348,1.9562307553632592,0.02220719353620588,2.3231658521106935
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Mg_=Low chemistry value, Ca_=Low chemistry value",Zn_=Low chemistry value,0.04543086984200474,0.8930602957906711,1.746202201082608,0.019413911545973175,4.568648697902875
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Mg_=Low chemistry value, Zn_=Low chemistry value",Ca_=Low chemistry value,0.04543086984200474,0.5906696764484575,1.368304241768722,0.012228553825444653,1.3884139366725332
"workpiece_weight_tonn=Medium, Ca_=Low chemistry value, Zn_=Low chemistry value","Al_=Low chemistry value, Mg_=Low chemistry value",0.04543086984200474,0.6983985765124555,2.744514215046331,0.028877532426975973,2.47190230916141
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Ca_=Low chemistry value","Mg_=Low chemistry value, Zn_=Low chemistry value",0.04543086984200474,0.61328125,1.6490642263849984,0.017881385040193126,1.6241867719383778
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Ca_=Low chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.04543086984200474,0.64822460776218,2.6120972475566018,0.028038381915109403,2.1372657303079237
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Zn_=Low chemistry value","Mg_=Low chemistry value, Ca_=Low chemistry value",0.04543086984200474,0.5547703180212014,2.4827444509423304,0.027132220609393885,1.7441549839836776
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Mg_=Low chemistry value","Ca_=Low chemistry value, Zn_=Low chemistry value",0.04543086984200474,0.5516514406184118,2.658110775919001,0.028339456551940593,1.7675195450799082
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Al_=Low chemistry value",Zn_=Low chemistry value,0.07691417327391631,0.9339423752635277,1.826138995380615,0.034795707226984655,7.396117289096466
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, Zn_=Low chemistry value",Al_=Low chemistry value,0.07691417327391631,0.6486090775988287,1.737568411136459,0.0326487660640727,1.7835250400293226
"workpiece_weight_tonn=Medium, Al_=Low chemistry value, Zn_=Low chemistry value",Mg_=Low chemistry value,0.07691417327391631,0.9392226148409892,2.305231187761002,0.043549114844084545,9.749827388266683
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value","Al_=Low chemistry value, Zn_=Low chemistry value",0.07691417327391631,0.5885739592559787,2.3717279482238935,0.04448457976530386,1.8273940298866362
"workpiece_weight_tonn=Medium, Al_=Low chemistry value","Mg_=Low chemistry value, Zn_=Low chemistry value",0.07691417327391631,0.5721050365906156,1.5383446821116165,0.026916162965628508,1.4678917302646832
"workpiece_weight_tonn=Medium, Mg_=Medium chemistry value, Al_=Low chemistry value",Nb_=Low chemistry value,0.03727067538630708,0.7759036144578313,1.5062171165281282,0.01252611832522613,2.1636494545246356
"workpiece_weight_tonn=Medium, Ca_=Low chemistry value, cast_in_row=Low",Nb_=Low chemistry value,0.03472423172637305,0.6802721088435374,1.32057316803814,0.008429413259055708,1.5164958571036298
"workpiece_weight_tonn=Medium, cast_in_row=Low, Nb_=Low chemistry value",Ca_=Low chemistry value,0.03472423172637305,0.5128205128205128,1.1879642902568226,0.00549420182466101,1.1665514268917851
"workpiece_weight_tonn=Medium, cast_in_row=Low",Mg_=Medium chemistry value,0.07240002314948782,0.541792983975747,1.0517515975864435,0.003562454168721668,1.0581811394908711
"workpiece_weight_tonn=Medium, cast_in_row=Low",Nb_=Low chemistry value,0.06771225186642746,0.5067128627111304,0.9836525732822854,-0.001125317114338692,0.9829285738203175
"workpiece_weight_tonn=Medium, Mg_=Low chemistry value, cast_in_row=Low",Zn_=Low chemistry value,0.0460096070374443,0.9509569377990431,1.859407596269058,0.021265378214369905,9.962060247953609
"workpiece_weight_tonn=Medium, cast_in_row=Low, Zn_=Low chemistry value",Mg_=Low chemistry value,0.0460096070374443,0.7471804511278195,1.8338822464542035,0.020920969461938294,2.3438417521666604
"workpiece_weight_tonn=Medium, Mg_=Medium chemistry value, cast_in_row=Low",Nb_=Low chemistry value,0.04190057294982349,0.5787370103916867,1.1234689138925913,0.004604861042097869,1.1509817721943245
"workpiece_weight_tonn=Medium, cast_in_row=Low, Nb_=Low chemistry value",Mg_=Medium chemistry value,0.04190057294982349,0.6188034188034188,1.2012475310082322,0.007019691309504562,1.2719579509796621
"workpiece_weight_tonn=Medium, Ca_=Low chemistry value, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.035534463799988425,0.665943600867679,1.2927580585768594,0.008047136558643087,1.451449586353227
"workpiece_weight_tonn=Medium, Ca_=Low chemistry value, Mo_=Medium chemistry value",Nb_=Low chemistry value,0.03362463105503791,0.6301518438177874,1.2232775766012303,0.006137303813692568,1.3109867231577532
"workpiece_weight_tonn=Medium, Mo_=Medium chemistry value",Mg_=Medium chemistry value,0.09942705017651485,0.7149396587598835,1.3878712912832298,0.027787085576782902,1.7009241630382947
